lemma,score
отказываться,-2
забрасывать,-2
терять,-2
похищать,-2
отведение,-2
похищение,-2
питать,-3
гнушаться,-3
отвратительный,-3
гнушаться,-3
способность,2
способность,2
на,1
отсутствовать,-1
абсентеист,-1
освобождать,2
освобождать,2
отпускать,2
оправдывать,2
поглощать,1
злоупотребление,-3
злоупотреблять,-3
нарушение,-3
оскорбительный,-3
принимать,1
принимать,1
принимать,1
принимать,1
авария,-2
случайный,-2
случайно,-2
несчастный,-2
выполнять,2
осуществлять,2
осуществлять,2
обвинение,-2
обвинение,-2
обвинять,-2
обвинять,-2
обвинять,-2
обвинение,-2
боль,-2
достижить,1
болящий,-2
оправдывать,2
оправдывать,2
оправдывать,2
оправдывать,2
желчный,-3
активный,1
адекватный,1
восхищаться,3
почитать,3
восхищать,3
восхищать,3
признавать,-1
признавать,-1
признавать,-1
увещевать,-2
увещевать,-2
принимать,1
принимать,1
обожать,3
обожать,3
обожать,3
боготворит,3
передовая,1
преимущество,2
преимущество,2
приключение,2
приключение,2
предприимчивый,2
пострадавший,-1
привязанность,3
любить,3
страдать,-1
оскорблять,-1
бояться,-2
обострять,-2
усугублять,-2
усугублять,-2
ухудшать,-2
агрессия,-2
агрессия,-2
агрессивный,-2
ошеломлять,-2
возбуждать,2
мучиться,-3
мучительный,-3
agonises,-3
мучительный,-3
мучиться,-3
мучительный,-3
мучаться,-3
мучительный,-3
давать,1
приятный,2
согласовывать,1
соглашение,1
соглашаться,1
аварийный,-2
встревожать,-2
паникер,-2
паникер,-2
увы,-1
бдительный,-1
отчуждение,-2
в,1
аллергический,-2
позволять,1
в,-2
поражать,2
поражать,2
поражать,2
удивительно,4
амбициозный,2
амбивалентный,-1
озадачивать,3
довольный,3
развлечение,3
развлечение,3
гнев,-3
Анжер,-3
сердитый,-3
мучение,-3
страдать,-3
злоба,-2
раздражать,-2
досада,-2
раздражать,-2
раздражать,-2
надоедать,-2
антагонистический,-2
анть,-1
предвосхищение,1
тревожность,-2
озабочивать,-2
апатичный,-3
апатия,-3
apeshit,-3
апокалиптический,-2
приносить,-1
извиняться,-1
извинять,-1
извинять,-1
приносить,-1
извиняться,-1
извинять,-1
извинять,-1
апология,-1
потрясать,-2
ужасать,-2
успокаивать,2
униматься,2
утолять,2
успокаивать,2
рукоплескать,2
аплодировать,2
аплодировать,2
аплодировать,2
аплодисменты,2
ценить,2
оценивать,2
оценивать,2
ценящий,2
признательность,2
опасаться,-2
утверждение,2
утверждать,2
утверждать,2
пылкий,1
арестовывать,-2
арестовывать,-3
арест,-2
высокомерный,-2
позор,-2
совестно,-2
жоп,-4
убийство,-3
заказный,-3
актив,2
актив,2
жоп,-4
Мудак,-4
поражать,2
изумлять,3
изумлять,3
поразительный,3
удивительно,3
изумлять,3
атака,-1
атаковать,-1
нападающий,-1
нападки,-1
привлекать,1
привлекать,1
привлечение,2
привлечение,2
достопримечательность,2
привлекать,1
дерзновать,3
власть,1
предотвращать,-1
предотвращать,-1
отвращать,-1
алчный,2
избегать,-1
избегать,-1
позволять,-1
ждать,-1
ожидать,-1
ждать,-1
награда,3
награждать,3
награда,3
здорово,4
ужасный,-3
неловко,-2
топор,-1
уволять,-1
с,1
поддержка,2
спина,1
плохо,-3
задира,-3
плохо,-3
катапультирование,-2
надувать,-2
одурачать,-2
bamboozles,-2
запрет,-2
отгонять,-1
банкрот,-3
bankster,-3
запрещать,-2
сделка,2
барьер,-2
ублюдок,-5
ублюдок,-5
боевой,-1
сражение,-1
избивать,-2
блажать,3
битье,-1
красотка,3
красивый,3
красиво,3
украшать,3
умалять,-2
принижаться,-2
возлюблать,3
выгода,2
выгода,2
извлекать,2
извлечение,2
отнимать,-2
скорбеть,-2
bereaves,-2
bereaving,-2
лучший,3
предавать,-3
предательство,-3
предавать,-3
предавать,-3
предавать,-3
хороший,2
смещение,-1
пристрастный,-2
большой,1
сука,-5
сука,-5
горький,-2
горький,-2
эксцентричный,-2
вздор,-2
вина,-2
винить,-2
винить,-2
обвинять,-2
благословлять,2
благословлять,2
благословение,3
слепой,-1
блаженство,3
блажать,3
беспечный,2
блок,-1
блокбастер,3
блокировать,-1
блокирование,-1
блок,-1
кровавый,-3
размывать,-2
хвастливый,-2
жирный,2
смело,2
бомбить,-1
увеличение,1
рост,1
стимулирование,1
форсировать,1
расточка,-2
скучать,-2
скучный,-3
беспокоить,-2
беспокоить,-2
надоедать,-2
надоедливый,-2
бойкотировать,-2
бойкотировать,-2
бойкот,-2
бойкот,-2
промывание,-3
храбрый,2
рвать,3
захватывать,5
взятка,-3
яркий,1
яркий,2
яркость,1
блестящий,4
юркий,2
ломать,-1
ломать,-1
задумчивый,-2
издеваться,-2
бред,-4
задира,-2
запугивать,-2
лентять,-2
плавучий,2
бремя,-2
обременять,-2
обременять,-2
бремя,-2
спокойный,2
успокоать,2
успокаивать,2
успокаивать,2
не,-3
отмена,-1
отменять,-1
отмена,-1
отменять,-1
рака,-1
способный,1
пленил,3
забота,2
беззаботный,1
осторожный,2
внимательно,2
неосторожный,-2
забота,2
обналичивание,-2
несчастный,-2
катастрофа,-3
катастрофический,-4
осторожный,-1
праздновать,3
знаменитый,3
праздновать,3
праздновать,3
цензор,-2
цензурой,-2
цензор,-2
определять,1
огорчение,-2
огорчать,-2
вызов,-1
шанс,2
шанс,2
хаос,-2
хаотичный,-2
заряжать,-3
расход,-2
очарование,3
обаятельный,3
неприглядный,-3
карать,-3
отчитывать,-3
отчитывать,-3
карающая,-3
мошенничать,-3
обматывать,-3
мошенник,-3
мошенник,-3
чита,-3
ур,2
веселеть,2
веселый,2
ободрять,2
унылый,-2
ур,2
бодрый,3
лелеять,2
заветный,2
лелеять,2
лелей,2
шик,2
детский,-2
охлаждение,-1
удушение,-2
подаваться,-2
дроссель,-2
задыхаться,-2
прояснять,2
ясность,2
столкновение,-2
классный,3
чистый,2
очиститель,2
чисто,1
очищаться,1
явно,1
рассеться,1
умный,2
дымчимать,-1
невежественный,-2
петух,-5
хуесос,-5
cocksuckers,-5
самоуверенный,-2
принуждать,-2
коллапс,-2
разваливаться,-2
обвал,-2
рушиться,-2
сталкиваться,-1
наталкиваться,-1
сталкиваться,-1
столкновение,-2
столкновение,-2
в,-3
бой,-1
сражение,-1
комедия,1
комфорт,2
удобный,2
утешительный,2
комфорт,2
рекомендовать,2
выражать,2
совершать,1
обязательство,2
совершать,1
привержать,1
совершение,1
сострадательный,2
вынуждать,1
компетентный,2
конкурентоспособный,2
самодовольный,-2
жаловаться,-2
жаловаться,-2
жаловаться,-2
комплексный,2
примиримать,2
умиротворять,2
примиривать,2
умиротворять,2
осуждать,-2
осуждение,-2
осуждать,-2
осуждать,-2
уверенность,2
уверенный,2
конфликт,-2
противоречивый,-2
конфликтный,-2
конфликт,-2
путать,-2
смущать,-2
путать,-2
поздравлять,2
поздравлять,2
поздравление,2
поздравление,2
согласие,2
согласие,2
consolable,2
заговор,-3
ограничивать,-2
зараза,-2
зараза,-2
заразительный,-1
презрение,-2
презрительный,-2
презрительно,-2
бороться,-1
соперник,-1
соперничать,-1
сварливый,-2
спорный,-2
спорный,-2
спорно,-2
убеждать,1
убежденный,1
убеждать,1
компанейский,2
круто,1
классный,3
с,-2
труп,-1
дорогостоящий,-2
мужество,2
отважный,2
учтивый,2
учтивость,2
покрывать,-3
трусы,-2
трусливый,-2
увать,2
судорога,-1
дерьмо,-3
авария,-2
безумно,-2
безумный,-2
псий,-2
творческий,2
удручять,-2
плакать,-2
крик,-2
преступление,-3
преступник,-3
преступник,-3
кризис,-3
критик,-2
критик,-2
критиковать,-2
критик,-2
критиковать,-2
критиковать,-2
критик,-2
жестокий,-3
жестокость,-3
раздавать,-1
раздавливать,-2
дробление,-1
дробление,-1
плакать,-1
плач,-2
пизд,-5
любопытный,1
проклятие,-1
порез,-1
милый,2
порез,-1
резко,-1
циника,-2
циничный,-2
цинизм,-2
наносить,-3
убыток,-3
черт,-4
проклявать,-4
черт,-4
опасность,-2
смельчак,2
отважный,2
самый,-2
темнота,-1
неустрашимый,2
мертвый,-3
тупик,-2
оглушительный,-1
уважать,2
дорогой,3
смерть,-2
жизнерадостный,2
долг,-2
обман,-3
лживый,-3
обманывать,-3
обматывать,-3
обманывать,-3
обман,-3
обман,-3
решать,1
предавать,2
побеждать,-2
дефект,-3
дефект,-3
защитник,2
защитник,2
беззащитный,-2
откладывать,-1
откладывать,-1
дерзкий,-1
дефицит,-2
деградировать,-2
деградировать,-2
деградировать,-2
делать,-2
дегуманизировать,-2
дегуманизировать,-2
дегуманизировать,-2
угнетывать,-2
удручять,-2
dejecting,-2
dejects,-2
задержк,-1
задерживаться,-1
восторг,3
Обрадовать,3
увлечать,3
изыск,3
спрос,-1
требовать,-1
требовательный,-1
требование,-1
демонстрация,-1
деморализовать,-2
отказывать,-2
дение,-2
дение,-2
отрицать,-2
денонсировать,-2
денонсировать,-2
отрицать,-2
отрицать,-2
давить,-2
унылый,-2
пускать,-2
сходить,-2
сходить,-2
высмеивать,-2
высмеивать,-2
высмеивать,-2
высмеивать,-2
осмеяние,-2
желательный,2
желание,1
желательный,2
жаждущий,2
отчаяние,-3
отчаяться,-3
отчаиваться,-3
отчаянный,-3
в,-3
давить,-3
уничтожать,-3
разрушать,-3
разрушать,-3
истреблять,-3
разрушение,-3
разрушительный,-3
отдельный,-1
задерживать,-2
держать,-2
задержание,-2
определять,2
опустошать,-2
опустошать,-2
разрушительный,-2
посвящать,3
бриллиант,1
дик,-4
залуп,-4
умирать,-3
умирать,-3
сложно,-1
робкий,-2
дилемма,-1
dipshit,-3
ужасный,-3
зловещий,-3
грязь,-2
грязней,-2
грязный,-2
грязный,-2
отключение,-1
недостаток,-2
неблагоприятный,-2
исчезать,-1
исчезать,-1
исчезать,-1
разочаровывать,-2
разочаровывать,-2
разочаровывать,-2
разочарование,-2
разочарование,-2
разочаровывать,-2
катастрофа,-2
бедствие,-2
гибельный,-3
не,-2
отбрасывать,-1
отбрасывать,-1
отбрасывание,-1
выброс,-1
безутешный,-2
disconsolatioн-лат,-2
недовольный,-2
диссонанс,-2
с,-1
обескураживать,-2
дискредитировать,-2
презирать,-2
бесчестие,-2
опальный,-2
маскировать,-1
замаскировывать,-1
маскировка,-1
маскировка,-1
отвращение,-3
чувствовать,-3
отвратительный,-3
обескураживать,-2
нечестный,-2
разочаровывать,-2
склонный,-2
расчленать,-2
нелюбовь,-2
гнетущий,-2
встревожать,-2
расстройство,-2
дезорганизовывать,-2
дезориентировать,-2
принижать,-2
пренебрежительно,-2
пренебрежительно,-2
пренебрежительный,-2
недовольный,-2
спор,-2
спорный,-2
спор,-2
оспаривать,-2
дисквалифицировать,-2
беспокойство,-2
невнимание,-2
игнорировать,-2
игнорирование,-2
пренебрегать,-2
неуважение,-2
неуважительно,-2
нарушение,-2
срыв,-2
разрушительный,-2
неудовлетворенный,-2
искажать,-2
искажать,-2
искажать,-2
искажаться,-2
отвлекать,-2
отвлекать,-2
отвлечение,-2
отвлекать,-2
бедствие,-2
бедствать,-2
расстройство,-2
огорчительный,-2
недоверие,-3
недоверчивый,-3
беспокоить,-2
нарушать,-2
тревожный,-2
беспокоить,-2
размывание,-2
голова,-1
уклонение,-2
изворотливый,-2
не,-3
грустный,-2
не,-2
гибель,-2
обречать,-2
сомнение,-1
сомневаться,-1
сомнительный,-1
сомневаться,-1
сомнение,-1
душа,-3
придурка,-3
удручять,-2
унылый,-2
нижний,-2
бремя,-1
тащить,-1
таскать,-1
осушеть,-2
страшиться,-2
ужасный,-2
ужасный,-3
ужасать,-2
мечта,1
мечта,1
тоскливый,-2
падать,-2
падение,-1
тонуть,-2
утонуть,-2
тонета,-2
пьяный,-2
сомнительный,-2
рвань,-2
скучный,-2
тупой,-3
тупица,-3
свалка,-1
сбрасывать,-2
отвал,-1
простофиль,-2
обманувать,-2
дисфункция,-2
нетерпеливый,2
ревностный,2
легкость,2
легко,1
экстатический,4
верхъестестветь,-2
верхъестестветь,-2
эффективный,2
фактически,2
ликующий,3
приподнимать,3
элегантный,2
элегантно,2
смущать,-2
смущать,-2
неловкий,-2
затруднительный,-2
конфуз,-2
озлоблять,-2
охватывать,1
крайний,-2
чуткий,2
пустота,-1
пустой,-1
чаровать,2
поощрять,2
поощрять,2
поощрение,2
призывать,2
одобрять,2
