lemma,score
2-грань,-1
ненормальный,-1
упразднять,-1
отвратительный,-1
гнусно,-1
питать,-1
мерзость,-1
выкидывать,-1
прерывать,-1
прекращать,-1
изобиловать,1
изобиловать,1
обдирать,-1
абразивный,-1
крутой,-1
резко,-1
бежать,-1
отсутствие,-1
рассеянин,-1
отсутствовать,-1
абсурд,-1
нелепость,-1
абсурдно,-1
абсурдность,-1
изобилие,1
обильный,1
злоупотребление,-1
злоупотреблять,-1
нарушение,-1
оскорбительный,-1
бездонный,-1
плачевно,-1
бездна,-1
",",1
доступный,1
случайный,-1
шумный,1
провозглашать,1
приветствать,1
акколад,1
почесть,1
услужливый,1
accomodative,1
выполнять,1
осуществлять,1
достижение,1
достижение,1
приставать,-1
точный,1
точно,1
проклявать,-1
обвинение,-1
обвинение,-1
обвинять,-1
обвинять,-1
обвинение,-1
осуждающе,-1
озлоблять,-1
терпкий,-1
кисло,-1
боль,-1
ныло,-1
ломота,-1
achey,-1
достижить,1
достижение,1
достижение,1
achievible,1
болящий,-1
едкий,-1
acridly,-1
acridness,-1
желчный,-1
язвительно,-1
язвительность,-1
сообразительность,1
непреклонный,-1
непреклонно,-1
адаптироваться,1
адаптивный,1
наркоман,-1
склонный,-1
увлекаться,-1
наркоман,-1
адекватный,1
регулировать,1
замечательный,1
превосходно,1
восхищение,1
восхищаться,1
обожатель,1
восхищать,1
восхищенно,1
увещевать,-1
admonisher,-1
наставительно,-1
увещевание,-1
замечание,-1
обожать,1
обожать,1
обожать,1
обожатель,1
поклоняться,1
обожание,1
ловкий,1
проворно,1
льщать,1
низкопоклонство,1
льстивый,1
фальсифицировать,-1
фальсифицировать,-1
фальсификация,-1
adulterier,-1
передовая,1
преимущество,1
выгодный,1
выгодный,1
преимущество,1
склонный,1
предприимчивый,1
состязательный,-1
состязательный,-1
неблагоприятный,-1
напасть,-1
адвокат,1
выступать,1
адвокат,1
приветливость,1
приветливый,1
приветливо,1
жеманство,1
привязанность,1
любить,1
сродство,1
утверждать,1
утверждение,1
утвердительный,1
тревожить,-1
недуг,-1
прискорбный,-1
наплыв,1
полноводный,1
позволять,1
доступный,1
по,1
оскорбление,-1
afordable,1
бояться,-1
обострять,-1
ухудшать,-1
