lemma,score
отказываться,-1
забрасывать,-1
оставление,-1
авво,1
отведение,-1
отклоняться,-1
аберрация,-1
питать,-1
отвратительный,-1
способность,1
унижать,-1
ненормальный,-1
упразднять,-1
отмена,-1
отвратительный,-1
мерзость,-1
выкидывать,-1
аборт,-1
абортивный,-1
вышеупомягать,1
истирание,-1
упразднять,-1
абсцесса,-1
отсутствие,-1
нет,-1
отсутствовать,-1
абсентеизм,-1
абсолютный,1
отпущение,1
поглощать,1
абсурд,-1
нелепость,-1
изобилие,-1
изобилие,1
обильный,1
злоупотребление,-1
бездонный,-1
бездна,-1
академический,1
академия,1
приемлемо,1
принятие,1
доступный,1
авария,-1
случайный,-1
акколад,1
жилье,1
сопровождение,1
выполнять,1
осуществлять,1
достижение,1
согласие,1
подотчетность,1
подотчетный,1
аккредитовать,1
Accueil,1
точный,1
проклявать,-1
обвинение,-1
винительный,-1
обвинять,-1
обвинитель,-1
обвинение,-1
туз,1
боль,-1
достигать,1
достижение,1
болящий,-1
кислота,-1
подтверждение,1
приобретать,1
приобретение,1
акробат,1
действие,1
действать,-1
фактический,1
острота,1
сообразительность,1
адаптироваться,1
адаптироваться,1
сумматор,-1
зависимость,-1
адрес,1
искусный,1
достаточность,1
жировой,-1
выносить,-1
адъюнкт,1
замечательный,1
адмирал,1
восхищение,1
восхищаться,1
обожатель,1
допустить,1
замечание,-1
обожать,1
обожание,1
обожать,1
дрейфовать,-1
фальсифицировать,-1
прелюбодеяние,-1
продвижение,1
передовая,1
продвижение,1
преимущество,1
выгодный,1
приход,1
приключение,1
предприимчивый,1
состязательный,-1
неблагоприятный,-1
напасть,-1
рекомендовать,1
консультировать,1
консультант,1
пропаганда,1
эстетический,1
эстетика,1
приветливый,1
привязанность,1
аффилировать,1
утверждать,1
утверждение,1
утвердительный,1
утвердительно,1
тревожить,-1
страдать,-1
недуг,-1
наплыв,1
полноводный,1
позволять,1
оскорбление,-1
бояться,-1
отава,-1
осадок,-1
aga,1
усугублять,-1
ухудшать,-1
усугубление,-1
агрессия,-1
агрессивный,-1
агрессор,-1
ошеломлять,-1
проворный,1
проворство,1
взволновывать,-1
агитация,-1
мучительный,-1
агония,-1
давать,1
приятный,1
согласовывать,1
соглашаться,1
соглашение,1
сельский,1
на,-1
впереди,1
помощь,1
пособничество,1
Айывать,-1
больной,-1
бесцельный,-1
ария,-1
алебастр,1
аварийный,-1
