lemma,score
плоха,-5
долгий,-5
неблагоприятный,-5
скучный,-5
страшный,-5
скучный,-5
трудный,-5
тяжёлый,-5
больной,-5
злой,-5
опасный,-5
холодный,-5
трудный,-5
отвратительный,-5
нелёгкий,-5
нехороший,-5
сложный,-5
незаконный,-5
бедный,-5
жёсткий,-5
одинокий,-5
жестокий,-5
грустный,-5
ужасный,-5
больной,-5
резкий,-5
вынуждать,-5
негативный,-5
страшный,-5
безумный,-5
неприятный,-5
погибать,-5
убивать,-5
глупый,-5
виноватый,-5
вредный,-5
неправильный,-5
жалкий,-5
пошлый,-5
тупой,-5
несчастный,-5
печальный,-5
усталый,-5
пассивный,-5
непонятный,-5
нервный,-5
грязный,-5
грубый,-5
скандальный,-5
стыдный,-5
стыдный,-5
ненужный,-5
виновный,-5
отрицательный,-5
грустный,-5
равнодушный,-5
криминальный,-5
слепой,-5
жуткий,-5
недовольный,-5
протестный,-5
тесный,-5
несчастный,-5
ложный,-5
противный,-5
преступный,-5
дурная,-5
агрессивный,-5
одинокий,-5
холодный,-5
жирный,-5
разбивать,-5
мрачный,-5
обидный,-5
бесполезный,-5
непонятный,-5
трагический,-5
наглый,-5
нелепый,-5
ленивый,-5
нищий,-5
дисгармоничный,-5
банальный,-5
досадный,-5
грешный,-5
лежалый,-5
обидный,-5
фальшивый,-5
нелегальный,-5
бивать,-5
неверный,-5
опасный,-5
адский,-5
чудовищный,-5
коварный,-5
печально,-5
сомнительный,-5
неудобный,-5
недешевый,-5
обречёть,-5
ошибочный,-5
унылый,-5
тревожный,-5
проклявать,-5
враждебный,-5
террористический,-5
циничный,-5
принудительный,-5
несправедливый,-5
болезненный,-5
эгоистичный,-5
шумный,-5
проблемный,-5
безразличный,-5
фашистский,-5
невыносимый,-5
напрасный,-5
зависимый,-5
коррупционный,-5
подозрительный,-5
неустойчивый,-5
дурацкий,-5
беспощадный,-5
непредсказуемый,-5
экстремистский,-5
опрометчивый,-5
непутёвый,-5
вредный,-5
нечестный,-5
забивать,-5
лживый,-5
мучительный,-5
позорный,-5
