text,id,sentiment
"Медики рассказали о состоянии пострадавшего мужчины, на которого было совершено нападение возле отделения банка по Тимирязева. Как прокомментировали Tengrinews.kz в пресс-службе Управления здравоохранения Алматы, с места происшествия в службу скорой помощи обратились двое человек. 

«Одному из них на месте была оказана медицинская помощь. От госпитализации он отказался. Второй пациент был доставлен в больницу скорой неотложной помощи (БСНП) с сотрясением головного мозга, ушибленной раной головы. Состояние на данный момент оценивается ближе к удовлетворительному. Пока он проходит обследование в больнице», — сообщили в Управлении здравоохранения Алматы.  

Напомним, в Алматы на пересечении улиц Тимирязева и Маркова возле БЦ «Алатау Гранд» произошла стрельба, ориентировочно в обеденное время. В здании расположены отделения банков «ВТБ» и «Сбербанк». 

В настоящее время полицейские разыскивают подозреваемых в стрельбе. По факту нападения в местном управлении внутренних дел начато досудебное расследование по статье 192 УК РК «Разбой». Создана специальная следственно-оперативная группа из числа опытных сотрудников подразделений криминальной полиции. В настоящий момент проводится комплекс оперативных и следственных мероприятий, направленных на установление личностей нападавших и их задержание. 

Ранее в «ДО АО Банк ВТБ (Казахстан)» прокомментировали нападение на мужчину. По данным пресс-службы банка, все отделения банка работают в штатном режиме с применением усиленных мер безопасности.   сотрудники полиции работают внутри отделения банка «ВТБ». Место происшествия не оцеплено. 

 
",1957,negative
"Google+
Чт 19 янв 2017 12:35:02
Один из фигурантов дела о коррупции в АО ""Байтерек Development"", управляющий директор компании Дильрух Анарбай, в 2012 году был осуждён по статье 242 УК РК (в старой редакции) ""Заведомо ложное сообщение об акте терроризма"". За неудачную шутку о поясе шахида на борту самолета в Астане он был приговорён к трём годам колонии, сообщает Today.kz.
Дильрух Анарбай 1982 года рождения, уроженец Жамбылской области, женат, имеет высшее образование. В разные годы работал в Министерстве юстиции РК. Однако в 2012 году, на момент получения судимости, в документации к делу числился безработным.
Как стало известно из приговора, 8 апреля 2012 года Дильрух Анарбай, будучи пьяным, в VIP-зале ресторана ""Пивница"" совершил звонок в VIP-зал международного аэропорта Астаны и сообщил, что утренним рейсом в Алматы вылетает некая Юля Петрова, у которой при себе будет ""пояс шахидки"". Ложное сообщение причинило ущерб государству в 500 000 тенге, поскольку самодельное взрывное устройство так и не было найдено.
На суде Анарбай позже утверждал, что о ""предстоящем теракте"" услышал в туалете увеселительного заведения ""Бочонок"", где в одной из кабинок некий мужчина, разговаривая по телефону, произнес фразу: ""Юлька сейчас здесь, утром она улетает в Алмату с поясом шахида"", но не придал этому значение. Однако позже, приехав на своем Range Rover в ""Пивницу"" с трёмя знакомыми девушками, узнал, что одна из них завтра собирается лететь в Алматы.
В итоге он якобы решил проявить бдительность, позвонив в столичный аэропорт. Поднявшему трубку инспектору службы досмотра мужчина представился Димашем и сообщил имя предполагаемой террористки, а фамилию, по его признанию, назвал наугад, при этом описав внешность своей знакомой.
""Увидел, что Галина сидит в красном платье, и сказал: ""В красное платье, блондинка"". И еще пошутил, что она похожа на Мерилин Монро, чтобы не вызвать подозрение"", – приводятся в материалах дела показания Анарбая.
В ходе судебного заседания также была допрошена одна из девушек, которая в тот вечер находилась в компании Анарбая. По её словам, все произошедшее было шуткой.
""Держа свой сотовый телефон, ""Димаш"", приложив его к уху, начал говорить следующее: ""Здравствуйте! Аэропорт? Утром в Алматы вылетает блондинка, похожая на Мерилин Монро, в красном платье, с поясом шахидки… Какая тебе разница, кто тебе звонит, да кто ты такая вообще…. Сидоров я… Её фамилия? Подождите, сейчас узнаю…"". После чего, убрав свой сотовый телефон в сторону, он попытался узнать фамилию девушки, и она, думая, что всё это он делает в шутку, сказала ему свою фамилию как ""Петрова"". После чего он, поднеся вновь свой сотовый телефон к уху, сказал: ""Петрова Юля… Да узнай, кто я, да пошла..."" – рассказала в суде свидетельница.
Суд признал доводы подсудимого несостоятельными и расценил их как попытку уйти от ответственности.
Действия Дильруха Анарбая были определены как ложное сообщение о готовящемся акте терроризма по статье 242 УК РК (в старой редакции). Решением суда №2 Есильского района столицы Дильрух Анарбай был приговорён к трем годам колонии общего режима. Судья также обязал его компенсировать причинённый государству ущерб и процессуальные издержки в размере около 500 000 тенге.
",1988,negative
"/KASE, 29.12.16/ – АО ""KEGOC"" (Астана), ценные бумаги которого находятся 
в официальном списке Казахстанской фондовой биржи (KASE), сообщило KASE 
о привлечении его филиала и должностного лица филиала к административной 
ответственности – http://www.kase.kz/files/emitters/KEGC/kegc_adm_resp_211216.pdf

[2016-12-29]
",2032,negative
"Инвестиционный убыток единственного в стране пенсионного фонда составил почти девять миллиардов тенге. 
 
Фонд ушёл в минус из-за изменения курса валют и переоценки ценных бумаг. Произошло это ещё в декабре. Однако информация о финансовых потерях на официальном сайте ЕНПФ появилась лишь недавно. 
В Национальном банке, где, собственно, и решают, сколько и во что вкладывать накопления казахстанцев, успокаивают: отрицательный итог лишь у одного месяца из двенадцати. В целом же за прошлый год сбережения будущих пенсионеров выросли на 531 миллиард. Инвестиционный доход составил почти восемь процентов. 
В начале января многие казахстанцы обратили внимание на то, что инвестдоход на их счетах стал отрицательным. Настораживающие значения в выписках тогда тоже объяснили колебанием курса валют и положительными показатели стали уже через несколько дней. 
— В рассматриваемом периоде значительное влияние на доходность оказала отрицательная переоценка финансовых инструментов. То есть укрепление курса тенге к доллару США с уровня 341 тенге до уровня 333 тенге, — объяснил Нуржан Нургазин, зам. руководителя департамента Национального банка РК.
",2100,negative
"Автодилеры в Германии продали по итогам 2016 года 569 автомобилей Lada Granta — втрое больше позапрошлогоднего, пишет портал Wroom.ru со ссылкой на данные немецкой организации Kraftfahrt-Bundesamt. 

При этом продажи автомобилей марки Lada на немецком рынке в целом выросли на 43 процента, до 1686 автомобилей. Издание отмечает, что большая часть продаж пришлась на внедорожник Lada 4х4 — за год было реализовано 1109 единиц. 

Тольяттинский завод реализует в Германии Lada Granta, Lada Kalina и внедорожники 4X4. Цена самой дешевой Granta с восьмиклапанным мотором в этой стране начинается от 7 тысяч евро (около 440 тысяч рублей). Материалы по теме 11:07 14 декабря 2016 Равнение на экспорт Как отечественные автопроизводители намерены завоевать зарубежные рынки 

В прошлом году продажи автомобилей в Германии выросли на 5 процентов, до 3,35 миллиона штук. 

На фоне значительного спада на российском авторынке, который продолжается на протяжении последних лет, отечественные заводы переориентируются на экспорт. В частности, в 2017 году «АвтоВАЗ» планирует увеличить долю экспорта на 50 процентов, говорил ранее президент компании Николя Мор. Кроме того, тольяттинский холдинг собирается открывать собственные сборочные производства в перспективных для сбыта странах (например, Иране). Ульяновский автозавод начал наращивать экспорт еще в 2015-м, а за прошлый год сумел нарастить долю экспортных продаж с 9 до 11 процентов. Серьезные усилия для наращивания экспорта предпринимает «КамАЗ».
",2101,positive
"15 часов назад
18 часов назад
18 часов назад
Сделка прошла на организованном рынке на торговой системе Казахстанской фондовой биржи.
Источник: www.zakon.kz
",2148,neutral
"
Союз предприятий автомобильной отрасли Казахстана ""КазАвтоПром""подвел итоги работы участников рынка новых легковых и легких коммерческих автомобилей за 11 месяцев 2016 года, передает Kazpravda.kz. 
 
""Начиная со второго квартала уходящего года, среднемесячная стоимость главного сырьевого товара казахстанской экономики не опускалась ниже $41 за баррель. Валютный курс вошел в относительно предсказуемый коридор. Эти факторы обеспечили старт восстановлению автомобильного рынка в денежном выражении, начиная со II квартала"", – отметил председатель правления Союза предприятий автомобильной отрасли Казахстана ""КазАвтоПром"" Олег Алферов. 
 
По его словам, в октябре наметился более устойчивый количественный рост продаж. В сумме по итогам года рынок перешагнет отметку в 42 тысячи автомобилей.  
 
Что же касается 2017 года, рост продаж автомобилей также сохранится. 
 
""Мы ожидаем умеренного роста рынка, но не ранее чем во II квартале и, разумеется, при условии сохранения сложившегося макроэкономического фона"", – резюмировал Алферов. 
 
Стоит отметить, в ноябре авторетейлеры обновили лучший результат продаж с начала года – в автоцентрах официальных дилеров было реализовано 4 187 автомобилей, что на 9,6% превышает итоги октября 2016 года. Отрицательная динамика по отношению к аналогичному значению минувшего года замедлилась до 32,4%.  
 
По итогам ноября продажи легковых автомобилей в долларовом выражении впервые с начала года превзошли прошлогодний показатель. В течение месяца казахстанцы потратили на приобретение новых легковых автомобилей $97,4 млн, что на 17% выше аналогичного значения ноября 2015 года. 
 
По результатам января-ноября текущего года официальными дилерами было реализовано 38 779 легковых и легких коммерческих автомобилей, что на 56% ниже аналогичного показателя минувшего года (88 396 ед.). Объем рынка, номинированный в иностранной валюте, достиг отметки $758 млн. 
 
29 357 автомобилей (76%), реализованных по итогам неполного года, пришлось на импорт, 9 422 покупателя (24%) остановили выбор на продукции казахстанских автозаводов. На долю официальных дилеров пришлось 95% всех первичных регистраций новых легковых автомобилей на территории республики.



",2175,positive
"
Перевозка железнодорожно-паромным транспортом будет относиться к международной, то есть облагаться НДС по нулевой  ставке. Об этом сказал министр национальной экономики Куандык Бишимбаев на презентации поправок по вопросам налогообложения и таможенного администрирования в Комитете Мажилиса парламента РК .

«Для увеличения конкурентоспособности транзитного  потенциала страны предлагается поправка, в соответствии с которой перевозка железнодорожно-паромным транспортом будет относиться к международной, то есть облагаться НДС по нулевой  ставке. На сегодня, услуги по транспортировке товаров железнодорожным транспортом до морского порта Актау (т.е. внутри границ Казахстана), не признаются услугами, связанными с международной перевозкой и подлежат обложению по ставке НДС 12%», - сказал К. Бишимбаев.

Вместе с тем, как отметил министр, текущим законопроектом предусмотрены поправки связанные с оптимизацией механизма «платы за доступность» по концессионным проектам особой значимости, поправки, инициированные в связи с разграничением полномочий между МИД РК и МВД РК в части принятия и согласования приглашений, а так же поправки по приведению действующего законодательства в соответствие с ранее принятыми законодательными актами.
",2177,positive
"Здравствуйте. У меня такой к вам вопрос почему у меня был депозит ""Бахыт"" и мне не кто не сообщил, что он закрылся. А теперь чтобы мне перевести деньги на другой депозит я должна открыть счет за который должна еще оплатить? Если снять свою вложенную сумму мне нужно ехать в город Караганду, так как в Карагандинской области г. Абай так просто дегьги не выдают нужно тоже открывать платный счет. Что у вас за банк замороченный. У меня депозит в каспий банки я могу везде без проблем и пополнить свой счет и так же снять в любом банкомате. У вас чтобы пополнить это нужно распечатать квитанцию на почте простоять там час в очереди чтобы пополнить счет депозита и в оконцовке даже не соизволили сообщить, что данный депозит закрылся и теперь не могу снять свои копейки 3000 тыс тенге за них я должна заплатить 500 тг за открытия счета. Интересно были деньги на депозите, но в конце концов остаюсь еще и без своих денег. Очень жаль, что ваш банк так работает. Прошу ответ на мой вопрос.
",2178,positive
"Как вырастут акцизы на табак и алкоголь в ближайшие 3 года
 
Министр национальной экономики РК Куандык Бишимбаев, представляя в Мажилисе проект закона «О внесении изменений и дополнений в некоторые законодательные акты РК по вопросам налогообложения и таможенного администрирования» сообщил, что в 2017-2019 годах вырастут акцизы на алкогольную и табачную продукцию, передает Zakon.kz.
Законопроектом предусматривается поэтапное повышение акцизов на алкогольную продукцию и табачные изделия. В 2017 году предлагается алкогольную продукцию за один литр обложить следующим акцизом - 2000 тенге, в 2018 году - 20275 тенге, в 2019 году - 2055 году. Предположительно, розничная цена возрастет с 690 тенге, это алкогольной продукции - до 780 тенге за 0,5 литра, - сказал он.
К.Бишимбаев отметил, что, увеличение ставки акциза будет связано также с необходимости приведения и гармонизации ставок акцизов с торговыми партнерами, что позволит казахстанским производителям выровнять условия с конкурентами из близлежащих стран.
По его словам, повышение акцизов на пиво и пивные напитки за 1 литр в 2017 году произойдет на 39 тенге, в 2018 году - на 48 тенге, в 2019 году - на 57 тенге. Действующая ставка 26 тенге за литр. Акцизы на табачные изделия за 1000 штук в 2017 году составят 6 200 тенге, в 2018 году 7 500 тенге, в 2019 году 8 700 тенге. Действующая ставка 5000 тенге за 1000 штук. Предположительно, розничная цена возрастет с 240 тенге до 300 тенге за 1 пачку сигарет, в среднем цены вырастут на 60 тенге.
Ранее К.Бишимбаев отмечал, что в целом законопроект направлен на сохранение предпринимательской активности в сельском хозяйстве, активизацию экономики страны.
 
 
",2210,neutral
