text,sentiment
"Коллеги сидят рубятся в Urban terror, а я из-за долбанной винды не могу :(",negative
"я хочу с тобой помириться , но сука я гордая и никогда этого не сделаю! (((",negative
"@realVold На твоем месте, я бы сначала телек купил бы(",negative
А всех остальных нет\,negative
RT @o_odium: разговоры с Кириллом - просто нечто ахах,negative
"Блин, блин, блин\",negative
Первоначальный замысел перестановки в комнате не увенчался успехом из за совершенно левых факторов :С\,negative
"ВОТ И СМОТРИ ПОСЛЕ ЭТОГО СЕРИАЛ, КОГДА ДРУЖИШЬ С ЖАЙКОЙ!\",negative
"RT @hitafijahul: Когда я научусь говорить ""нет"", я буду собой гордиться. Ненавижу, когда мне врут,а я еще и помогаю им.(",negative
@anitakruspe печально что заряд одинаково фигово держится(,negative
Я правильно зрозуміла???Бобер приїде в україну о_О,negative
— как мне это развидеть.. ;( скофилд в гробу перевернется...,negative
надо засрать ленту:3,negative
прошел час\,negative
-ага((( \,negative
но эта сука даже не пришла на его похороны:((,negative
"Письмо пришло ""Предлагаем вам воспользоваться услугой нашего салона ""секс-куклы на прокат"" O_o",negative
"Такие мелкие и страшные, а уже замуж хотят(",negative
"То чуство, когда ты не умеешь общаться с противоположным полом :(  я лох т_т",negative
странный цвет,negative
Фуфуфу тошнит  и болит голова:( ела в 4 часа последний раз. Надо спать.,negative
"@LiGalyaeva а какой? А то я не знаю, что дарить (((",negative
"@TaisiaMoon Ромео и Джульетта посмотри, я много и долго плакала, даже от песни((((",negative
"Небо поможет нам, небо поможет всем нам....И нам не перенесут сессию и оставят все как есть...Ребят не надо переносить, ну пожалуйста =(",negative
@Polinarrria фига себе!Бедная( А у меня сегодня волейбол был просто:/,negative
"Понимаешь,что был человек и вдруг,за один миг его не стало =....(",negative
Я себя сейчас так одиноко чувствую :(****,negative
RT @dyqiwozurej: место девушке в положении. А на него примчится расталкивая всех какая то страшная баба непонятных лет :-(,negative
"@Kristi1606 пф, лучше бы мужики сами брились, а то вон ходят как бичи, а на пушочек наш тыкают (",negative
"Это версус, у меня самая уебанская печать :( http://t.co/hgJoi7mSkS",negative
Почему так сложно найти подходящую квартиру( заебали,negative
"Просто спать хочу , а еще куча всего учить(\",negative
На улице........много такс......в одеждеO_o,negative
Зато могу сказать: мне так одиноко и так болит зуб ;(,negative
"@olesyaklimenova к счастью, знаю и завидую как сука :(",negative
"Всего 20 процентов,агутин,ты чо&gt;&lt; и 15 от зрителей..:/ это ли не д*рьмо:( я голосоваал;(",negative
"как мне не хватает философских разговоров с моими любимыми, наконец-то завтра соберемся, жаль, что не все(",negative
"гороскоп:""Львы,вам срочно нужно изменить что-то в жизни.Встретить нового человека.забыть старых,ненужных,.иначе Вы сойдете с ума.""\",negative
оаа.(((,negative
ну вот что за жизнь ((пока ходила есть Ли заходил: (((((((((,negative
@JuliaVinnikova ну вот это и смущает((( шубу потому что надо,negative
Пиздец смешно(\,negative
"домой хочется, а ещё тут 13 дней торчать;(",negative
RT @lora_lerevna: “@Класс! RT AlexeySazonov: А в Таиланде полиция сняла защитную амуницию и села рядом с протестующими :| http://t.co/K2iz0…,negative
"Твит пролетания над Нью-Гемпширом. Скоро уже Канада, и интернет заберут(",negative
"RT @wumufikibyke: Как такое может быть? pbzip грузит 800% СРУ, размер аутпут файла не растёт. ЧТО ЦЭ ТАКЭ?! O_O",negative
"Обновил за каким-то лешим surf, теперь не работает простоплеер :(",negative
ещё этого мне сейчас не хватало...,negative
задумка о том как написать что бы оно работало провалилась :-(,negative
"Шо за пиздец? Картридер потерял, документы от теле2 симки потерял... =(",negative
Я не хочу болеть. я только выздоровела( блин.,negative
".я так хочу чёлочку бэйби и нэвер сэй нэвер а не ниггу шлюх и PYD...ДА ПРОСТЯТ МЕНЯ БЕЛИБЕРЫ,НО Я СКУЧАЮ(",negative
"RT @jubugonufona: Мля, птяницо и пива нескем попить :(",negative
Не знаю что сказать:( \,negative
и тоже люблю рок с: правда об этом мало кто знает (,negative
"привет, что делаешь? Девушка: привет, я пипец как хочу срать(( П: O_o Д:бляяяха ;DD http://t.co/va3aPdTgSC",negative
"@sunretxe, а, ну да, блин, я на 20-15 минут опаздаю ( скажешь ей так сэп, если ты в школе уже конечно",negative
"решил поразвлекать себя — вручную перетащить /Applications на медиа раздел — накосячил( оська жива, софта нет, ща буду чи",negative
@Mihanti Пашнин вообще в какого-то гопника без тормозов превращается(((,negative
У него слишком заметная внешность. =( #ff #follow,negative
Анна мне рассказала про вас. =( #FF #FOLLOW,negative
энди картрайт проебал домино??..я в печали(( эх..,negative
"Раздражает, что ты с нами общаешься хуже, чем с ней :(",negative
"RT @kemuceji: хочу выйти погулять, но все говорят что холодно :(",negative
"что-то случилось с дебаггером( или со мной, но так работать невозможно",negative
"Коммандер, сопроводите наших гостей в транпортаторную. :-( #FF #FOLLOW",negative
Боже как мне сейчас Даши нехватает просто рядом(,negative
"@we_are_shining бляяяяяяяя, прасти , я не заметил :(",negative
Ну как же так( Быть в одном городе и не встретиться(,negative
RT @RuchenkinaRo: я пропустила свой 4000 твит :((\,negative
его я бы посвятила его @Green_FOB @BOPOBKA_of_LOVE @k_egorova21 @kudrevichmv @_nick_halde…,negative
уже неделю..,negative
горло болит\,negative
RT @dygymafetof: Хотел во Владимире найти переходничок mini dvi - vga. Зря надеялся на новогоднее чудо :(,negative
"Насморк,кашель,глаза слезятся...Заболеваю я походу(",negative
RT @WOODEN_STAKE: @Alexanatash @alekseevaanya_ нет:(,negative
"RT @Kosmicheskii: бляяяяя как же мне хуёво((( отъебитесь от меня ёбаные болезни, хули прилепились((((",negative
RT @gyrizywa: — сей музлоплеер требует Java и... mplayer O_o,negative
Сейчас поеду в школу рассказывать стихи :|,negative
"RT @__fucking_sykes: если верить теории о большом пальце, то у меня был бы маленький :-(",negative
"@an2twit я может не так понимаю, но почему журнал, который обновлялся 2 октября 2011, на первом месте? о_О",negative
@Babydoll_Mariya никакой шелк не смог удержать мой ноготок;(,negative
лечу свое горло ( http://t.co/LYUxMJYmvk,negative
не знаю он классный просто и все оч крутой тип титан :(  нравится мне и все,negative
Пятеро жителей Чечни задержаны за драку у кинотеатра «Прага» в Москве (,negative
