text,sentiment
"78-летний кита́йский ли́дер Цзян Цзэминь по́дал проше́ние об отста́вке с поста́ председа́теля Центра́льного вое́нного сове́та / ЦВС / КНР на проходя́щем в Пекине пле́нуме ЦК компа́ртии Кита́я.  [Андрей Бычков. Китайский лидер Цзян Цзэминь уходит в отставку (2004) // ИТАР-ТАСС, 2004.09.18] [disambiguated]",l
"В конфере́нции при́няли уча́стие: правозащитные и обще́ственные организа́ции―""Мемориа́л"", Фонд ""Пра́во Ма́тери"", Центр разви́тия демокра́тии и прав челове́ка, региона́льная обще́ственная организа́ция ""Экодаль"", Институ́т рели́гии и пра́ва, Институ́т пра́ва и публи́чной поли́тики, Центр соде́йствия междунаро́дной защи́те, а та́кже представи́тели Ру́сской правосла́вной це́ркви и госуда́рственные слу́жащие.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"Класси́ческой моде́лью взаимоотношений ме́жду граждани́ном и госуда́рством явля́ется доброво́льное отчужде́ние челове́ком ча́сти свои́х прав в по́льзу госуда́рства, кото́рое, в свою́ о́чередь, выступа́ет инструме́нтом и гара́нтией защи́ты остальны́х оста́вшихся у граждани́на прав.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"По́люсом ми́ра ста́ли Соединённые Шта́ты Аме́рики, но э́та однополярность предоставля́ет не́кую свобо́ду для стран тре́тьего, четвёртого поря́дка, стран с религио́зной идеоло́гией, трансли́рующими её как гла́вную составля́ющую своего́ госуда́рственного устро́йства.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"Наприме́р, религио́зная организа́ция, осуществля́ющая де́ятельность в госуда́рстве, но финанси́руемая из-за́ рубежа́ и в значи́тельной сте́пени отста́ивающая национа́льные це́нности друго́го госуда́рства, не мо́жет не вызыва́ть беспоко́йства, поско́льку не про́сто трансли́рует чужи́е це́нности, но спосо́бна дестабилизировать госуда́рство"", отме́тил А. Е. Журавский.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",n
"Выступле́ние экспе́рта Институ́та прав челове́ка . .  бы́ло посвящено́ пробле́ме выявле́ния причи́н и фа́кторов зарожде́ния и разви́тия экстреми́зма и террори́зма.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"Зако́н о свобо́де со́вести в отли́чие от Европе́йской конве́нции прав челове́ка допуска́ет ограниче́ние свобо́ды со́вести в интере́сах оборо́ны страны́ и безопа́сности госуда́рства"".  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"Таки́м о́бразом, профила́ктика экстреми́зма, проводи́мая госуда́рством, счита́ющим, что необходи́мо ужесточить контро́ль за де́ятельностью сект, наруша́ет права́ челове́ка и должна́ быть при́знана неконституцио́нной.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"С докла́дом на те́му ""     "" вы́ступил нача́льник отде́ла по религио́зным и культу́рным вопро́сам полномо́чного представи́теля по права́м челове́ка . . .  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
"Представи́тель Ру́сской правосла́вной це́ркви привёл до́воды о необходи́мости включе́ния в шко́льную програ́мму предме́та ""Осно́вы правосла́вной культу́ры"", подчеркну́в, что э́тот предме́т не сле́дует пу́тать с тако́й дисципли́ной, как Зако́н бо́жий, а кро́ме того́, речь идёт лишь о его́ факультати́вном преподава́нии.  [Мария Козлова. Свобода совести и светскость государства: проблемы и решения (1 часть) (2004) // «Адвокат», 2004.12.01] [disambiguated]",l
