text,sentiment,id,transformed
"В 1811 году министр финансов Д.А. Гурьев в записке Государственному совету отмечал, что число оброчных крестьян, занимающихся промыслами и торговлей, равно численности купцов и мещан, вместе взятых.  [Александр Горянин. Загадки крепостного права // «Знание-сила», 2012] [not disambiguated]",l,2406,"В 1811, министром финансов окружной прокурор. Guriev, в записку, в которой Совет, отметил, что число крестьян, занимающихся ремеслами и торговли является равным числу и burghers."
"Наконе́ц воцари́лась императри́ца Екатери́на II; она́ вступи́ла на престо́л, когда́ уже́ Фри́дрих II в Пруссии дава́л власти́телямприме́ры как на тро́не воцарять любому́дрие, когда́ уже́ Монтескию издава́л своё о зако́нах безсмертное сочине́ние, когда́ уже́ писа́л Беккария, когда́ Блекстон бо́льше изве́стными сде́лал в Евро́пе законоположе́ния своего́ оте́чества, когда́ Волтер проповедывал терпи́мость до безголо́сицы, бичь гоне́ния воздвиг на суеве́рие и пустосвятство пресле́дующим ору́жием насме́шки, и язы́к  его́, я́ко бри́тва изощрённый, сокруша́л сии́ бре́нные изступления, ― она́, уразуме́в, колико ну́жно сообразова́ть зако́ны с о́бщим наро́дным умоначертанием, ― кото́рое в Росси́и со времён Собо́рного Уложе́ния во всем переменилося, кото́рое со времён Петра́ I, а па́че со времён Елизаветы, взя́ло уже́ вид совсе́м но́вый, а с нача́ла ея ца́рствования начина́ло входи́ть в стезю́ о́бщего умоначертания Евро́пы, ― императри́ца Екатери́на вознаме́рилась положи́ть основа́ние росси́йскому госуда́рству,воздви́гнув власть  верхо́вную на зако́не непрело́жном и всем изве́стном.  [А. Н. Радищев. О законоположении (1801-1802)] [disambiguated]",l,3710,Три десятка предпринимателей цветовым складов и производственных объектов на бывшей базе.
"Вы́вод напра́шивается сам собо́й: заве́домо невыполни́мые усло́вия приведу́т к сры́ву подавля́ющего большинства́ региона́льных вы́боров, а опусте́вшие кре́сла руководи́телей придётся запо́лнить назначе́нцами в ука́зном поря́дке.  [Ирина Нагорных, Илья Булавинов, Александр Вешняков. Сверните поправки в трубочку // «Коммерсантъ-Власть», 2002] [disambiguated]",l,1494,"Вывод сам предполагает: сознательно невыполнимые условия приведут к разрушению огромного большинства региональных выборов, а белые стулья лидеров должны быть заполнены назначенными в порядке."
"Он прошёл и Чернобы́ль, и Чечню, хорошо́ разбира́ется в своём де́ле, ― рассказа́л «Изве́стиям» экс-министр вну́тренних дел Анато́лий Куликов.  [Евгений Чубаров. Продолжение следует. Кадровые перестановки в МВД завершаются, реформа -- продолжается (2001) // «Известия», 2001.07.10] [disambiguated]",p,1918,Он из Чернобыля и хорошо разбирается в бизнесе. Бывший министр внутренних дел упомянул в своей автобиографии.
"Причём таки́х, из-за́ кото́рых мо́гут и лю́ди, и ты пострада́ть.  [Елена Семенова. Олигарх без галстука (2003) // «Аргументы и факты», 2003.01.29] [disambiguated]",n,908,Вот почему все вокруг вас могут пострадать.
"В осно́ве э́того лежи́т о́бщее стремле́ние на́ших госуда́рств развива́ть конструкти́вный диало́г по ключевы́м пробле́мам совреме́нности, совме́стно иска́ть пути́ их реше́ния на справедли́вой, коллекти́вной осно́ве.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",p,46,"Это основано на общем мнении наших государств о развитии конструктивного диалога по ключевым вопросам нашего времени, совместном поиске решений для них на справедливой, коллективной основе"
"Спецназ союзников воюет в стране в нарушение резолюции ООН, силы повстанцев возглавляют радикальные исламисты, а накал информационной борьбы подрывает доверие к крупнейшим мировым СМИ.  [Павел Бурмистров. Навалились всем миром // «Русский репортер», № 34 (212), 1 сентября 2011, 2011] [not disambiguated]",n,3601,"Союзные спецназ все еще находятся в состоянии войны с нарушениями закона, повстанческие силы ведут радикальные исламисты, а информационная война серьезно подрывает крупнейшее в мире доверие к средствам массовой информации."
"Гора́здо интере́снее реши́ть бо́лее тру́дную зада́чу ― сде́лать пе́рвую попы́тку верну́ть ему́ орео́л геро́я.  [Д. Соколов. Нет больше сил терпеть безнадегу (2002) // «Витрина читающей России», 2002.10.25] [disambiguated]",p,1667,Гораздо интереснее решить более сложную задачу - сделать первую попытку вернуть ему славу героя.
"Три деся́тка предпринима́телей организова́ли складски́е помеще́ния и произво́дственные цеха́ на бы́вшей ба́зе.  [Лариса Опель. Федеральное самоуправление (2003) // «Деловой квартал» (Екатеринбург), 2003.01.13] [disambiguated]",l,735,"«В чем не верит», как они управляют - вероятно, потому, что обман на самом деле еще в чем-то верить!"
"[Мария Московская, жен]   Потому что 84% ― это на самом делебешеная популярность, с которой не то, чтобы по улице ходить без охраны ― спать на лавочке в сквере можно.  [коллективный. Мистер Рейтинг (2015.03.14)] [not disambiguated]",p,3897,"[Мария Москва, жены], потому что 84% - на делебешеная, с которой это не похоже на улицу, чтобы идти в школу безопасности - спать на скамейке на площади."
"Неда́вно и́мя Малышева всплы́ло в свя́зи с «де́лом ПСБ» ― сле́дственная брига́да запра́шивала в Промстройбанке да́нные о счётах не́скольких изве́стных люде́й, в том числе́ и Малышева.  [Виктория Волошина. Дохлая муха в сейфе. Вице-губернатору предъявили обвинение во взяточничестве (2001) // «Известия», 2001.07.10] [disambiguated]",l,1860,"Недавно имя Малышева всплыло в связи с «случаем PSB» - следственная бригада запросила в Промстройбанке данные о счетах нескольких известных людей, в том числе Малышева."
"[Урус-хай, nick]   Между крестоносцами и иерусалимцами возникла распря из-за того, что Людовик и Конрад не хотели отдавать эту область королю иерусалимскому, желая сделать ее самостоятельным государством.  [коллективный. Форум: Людовик Седьмой взял Дамаск (2012)] [not disambiguated]",l,3139,"был раскол между крестоносцев и Jerusalemites, что Луи и Конрад не хотел дать этой области к царю Иерусалима, чтобы это независимое государство."
"«Предста́вьте, что каки́е-то вооружённые лю́ди в США пришли́ отку́да-то с ю́га и хотя́т захвати́ть полови́ну Техаса!» ― и́менно так росси́йский президе́нт пыта́лся убеди́ть и америка́нских журнали́стов, и америка́нского президе́нта-техасца с его́ крити́ческим умо́м.  [Екатерина Григорьева. Расстановка акцентов. Владимир Путин поделился впечатлениями о Джордже Буше (2001) // «Известия», 2001.06.19] [disambiguated]",n,1866,"«Представьте себе, что вооруженные силы Соединенных Штатов хотят захватить половину Техаса!» - таково послание, которое президент России крикнул американцам."
"Е́сли для А́зии ва́жны ли́чные перегово́ры, то Евро́па в бо́льшей сте́пени ориенти́руется на уча́стие публи́чных поли́тиков и бизнесме́нов в междунаро́дных тусовках ― ска́жем, в предстоя́щем на сле́дующей неде́ле Зальцбургском фо́руме.  [Андрей Лебедев. В боевиках и в реальности. Россию за границей видят в кривом зеркале (2001) // «Известия», 2001.06.25] [disambiguated]",p,1873,"Потеря способности нынешнего правителя принимать политические решения и разработать новый курс дает возможность выйти на арену новых политических сил, готовой предложить более радикальные меры - в этом году выборов, ни одна из ключевых страны в мире не имеют не удалось избежать избирательной интригу, способную влиять на политические события в глобальном масштабе."
"На э́тих отделе́ниях на 1 ме́сто претендова́ли до 8 челове́к ― э́то да́же бо́льше, чем год наза́д.  [Вузы Коми выбрали новых студентов (2003) // «Московский комсомолец» в Сыктывкаре, 2003.08.06] [disambiguated]",l,1235,"В этих офисах до 8 человек требуют 1 место - это еще больше, чем год назад."
"Всё про́сто.  И всё сво́дит с ума́.  Таковы́ два но́вых арома́та ― же́нский и мужско́й ― от Celine, ма́рки, кото́рая соблазня́ет, не провоци́руя.  [Юрий Зубцов. Чем пахнет январь (2002) // «Домовой», 2002.01.04] [disambiguated]",n,1554,"Это просто. И все с ума. Здесь два новых ароматы - женщины и мужчины - от Селин, торговую марку, которая соблазнила, не спровоцировав."
"Э́тому спосо́бствовал бы созы́в междунаро́дной конфере́нции и́ли встре́чи по Ираку, в по́льзу чего́ вы́сказался Сове́т Безопа́сности ОО́Н в единогла́сно при́нятой резолю́ции 1546.  [С. В. Лавров. Выступление на сессии ОИК // «Дипломатический вестник», 2004] [disambiguated]",l,51,"Этому будут способствовать итоги международной конференции по Ирану, которая была предложена в резолюции 1546, которую единогласно принял Совет Безопасности ООН."
"Увы́, в плену́ идеологи́ческих стереоти́пов лю́ди не в состоя́нии поня́ть, что госуда́рство― далеко́ не лу́чший хозя́ин.  [Елена Костюк. Сверхбедные против свербогатых (2003) // «Время МН», 2003.07.30] [disambiguated]",n,537,"Например, он содержит следующий отрывок: «Если в ближайшие годы экономический рост в России может быть воспроизведен, при условии благоприятной внешней экономической среды, то в 2006 году, из-за короткого замыкания внутренних источников развития, это неизбежно значительное замедление или даже спад «."
"), а общее, более или менее единое на тот момент недовольство социально-политическим порядком, сложившимся в стране на протяжении «нулевых» годов, и неприятие фигур, которые эти порядки олицетворяли..  [Борис Дубин. Сдвиг // «Знание-сила», 2012] [not disambiguated]",n,2522,"Критики были подвергнуты критике их, что требует реформировать сеть - это не политическая программа, и партия, которая вне своего собственного положения о налогах, пенсионной системы, экономической и внешней политики - это не партия."
Погибло множество ни в чем не повинных людей ― и многие из них куда более страшной смертью.  [Н. Л. Холмогорова. Переименование «Войковской»: 12 аргументов против (2015.11.05)] [not disambiguated],n,3826,"Итак, это много невинных людей, и многие из них намного ужаснее."
"Пусть он сойдёт с ума́, мо́чится под себя́, и ему́ в бреду́ явля́ется четырнадцатилетний ира́кский ма́льчик, изре́занный крупнокали́берными пулемётами.  [Александр Проханов. Прокуратура - кастет с программным управлением (2003) // «Завтра», 2003.07.29] [disambiguated]",n,804,"И он на ун с ума сходит, мочится, а он бредовый является четырнадцатилетний иракский мальчик, изрезанный крупнокалиберными пулемётами."
"Ну а Путин, тогда ещё молодой и слегка стеснительный, всё это дело омофорил, в смысле осенял крылом, и даже выступил с речью на открытии.  [Константин Крылов. О белом диване // «Русская жизнь», 2012] [not disambiguated]",l,2657,"Ну, Путин, тогда еще молодой и немного застенчивый, во всем омофорил, я имею в виду «Мир» и даже произнес речь на открытии"
"По факту исчезновения самолета и нарушения правил безопасности, повлекшего смерть двух и более лиц, возбуждено уголовное дело, уволен и.о. начальника ОВД области Борис Ленючев, а начальнику регионального управления ведомства объявлено о неполном служебном соответствии.  [Вехи // «Русский репортер», 2012] [not disambiguated]",n,3338,"Если, по сути, исчезновения и нарушения правил безопасности, повлекшего смерть двух или более лиц, уголовное дело, уволили действующего председателя. за последние два десятилетия, поле Бориса Ленючева и областное правительственное агентство о неполном сервисе."
"Потом эти задачи стали основой знаменитых олимпиад по математической и структурной лингвистике в МГУ, благодаря которым вскоре было создано отделение структурной и прикладной лингвистики, откуда вышло много совершенно замечательныхлюдей.  [Л. Ермолинская, C. М. Толстая. Этнолингвист Светлана Толстая: Нас обвиняли в том, что мы проповедуем религию (2015.10.27)] [not disambiguated]",p,3863,"Король, как chelovekgluboko верующие, любил, чтобы найти примирение с его жертвами перед Богом и был заинтересован в точности информации."
"Но тако́й поря́док ещё и контрэффективен: эконо́мика, в кото́рой основно́е нало́говое бре́мя возло́жено на капита́л и труд, а приро́дные ресу́рсы почти́ свобо́дны от него́, немину́емо бу́дет сполза́ть к экстенси́вному сцена́рию ― ограниче́нию инвести́ций и рабо́чих мест и хи́щническому природопользованию.  [Борис Жуков. Переоценка ценностей (2003) // «Еженедельный журнал», 2003.03.17] [disambiguated]",n,425,Но большая часть работы сосредоточена на обеспечении капитала и труда.
При нынешней политике стоящих у власти в России воров развал государства более чем вероятен.  [коллективный. Форум: Сепаратисты провезли по Петербургу Маннергейма (2012)] [not disambiguated],n,3238,"Возникшее между двумя президентами комплиментов стиль обмена остается в силе, однако, в теплые слова снова немного сложнее появляются позиции принципа."
"А теперь вдруг адвокаты заявили, что выходят из дела, потому что, представляете себе, работа с ними «становится опасной» для осужденных девушек.  [Иван Давыдов. Беззащитные // «Русская жизнь», 2012] [not disambiguated]",n,2422,"Теперь неожиданно адвокаты сказали, что вышли из бизнеса, потому что вы знаете, как работать с ними «становится опасным» для осужденных, девочек."
"Есть лю́ди, кото́рые уже́ гото́вятся к тому́ моме́нту, когда́ бу́дет образо́ван штаб.  [Владимир Рыжков, Дмитрий Камышев. Владимир Рыжков: никто ничего не будет экономить // «Коммерсантъ-Власть», 1999] [disambiguated]",l,2062,"Есть люди, которые готовятся к этому, когда штаб-квартира будет создана."
"Ветреной ночью двое храбрецов вместе со своими подростковыми детьми втолкнули лодку в воду и отправились навстречу свободному миру.  [Евгения Пищикова. Подвиг // «Русская жизнь», 2012] [not disambiguated]",p,2735,"Олег Кашин. Является блестящим в старой «русской жизни» я писал о Никита Белых в комнате, посвященной Гоголю - краска вновь назначенный губернатор Кировской области прошел хорошо на тему «Ревизора» - или, скорее, характер инспектора."
