doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
1,-0.916666667,-0.037037037,2.5,-0.470588235,0.219512195
2,-0.681818182,0.2,-0.85,-0.444444444,0.428571429
3,-0.861111111,0,-5,-0.4,0.302325581
4,0.133333333,0.294117647,-5,-0.636363636,0.5
5,-1.573170732,-0.578947368,-5,-0.763157895,-0.275
6,0.125,0.111111111,-5,-0.666666667,0.666666667
7,-0.861111111,-0.052631579,-5,-0.419354839,0.318181818
8,0.125,0.411764706,-5,-0.428571429,0.714285714
9,0.176470588,0.142857143,-5,-0.818181818,0.142857143
10,-1.045454545,-0.173333333,-5,-0.65,0
11,-0.830188679,0,0,-0.543859649,0.181818182
12,-0.955223881,-0.114754098,0,-0.698630137,0
13,-1,-0.136690647,0,-0.605263158,0.075
14,-0.842105263,0.032258065,0,-0.5,0.260869565
15,-0.473684211,-0.096774194,0,-0.583333333,0.12
16,-0.666666667,-0.045454545,1.7,-0.615384615,0.153846154
17,1,-0.111111111,0,-1,-0.2
18,-0.903225806,-0.028571429,-0.533333333,-0.5,0.170731707
19,1,0.5,0,-1,0.2
20,0.125,0.310344828,5,-0.833333333,0.428571429
21,-0.608695652,0.162790698,0,-0.655172414,0.185185185
22,-1,0,0,-0.454545455,0.066666667
23,1,0.555555556,0,-0.846153846,-0.142857143
24,-1.229166667,-0.363636364,0,-0.719298246,-0.046153846
25,-0.44,0.111111111,-5,-0.62962963,0.142857143
26,-1,0.25,0,-0.6,0.142857143
27,-1.666666667,-0.466666667,0,-0.703703704,-0.111111111
28,-0.85,0.105263158,0,-0.411764706,0.347826087
29,-0.933333333,0.307692308,-5,-0.230769231,0.25
30,1,0.142857143,0,-1,-0.666666667
31,-0.526315789,0,-5,-0.555555556,-0.076923077
32,-0.346153846,0.06122449,0,-0.538461538,0
33,-0.541666667,0.05,0,-0.565217391,0.037037037
34,-0.879518072,0,-5,-0.447368421,0.134615385
35,-0.764705882,-0.1,0,-0.555555556,0
36,-0.32,0.047619048,0,-0.4,0.230769231
37,-0.773584906,-0.013333333,-5,-0.363636364,0.206349206
38,-0.791666667,-0.068965517,3.3,-0.422222222,0.206349206
39,-0.555555556,0,0,-0.25,0.217391304
40,-0.893939394,-0.011764706,5,-0.4,0.234567901
41,-0.722222222,-0.04,0,-0.377777778,0.225806452
42,-1,-0.060606061,0,-0.32,0.236842105
43,-0.757575758,-0.157894737,0,-0.333333333,0.19047619
