doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
10006,-0.857142857,-0.214814815,-1.333333333,-0.68115942,0.046357616
10027,-0.734597156,-0.005517546,1.027860697,-0.489433076,0.210042257
10029,-1.032854209,-0.142028986,1.814705882,-0.417218543,0.137195122
10041,-0.742857143,-0.00758214,2.343119266,-0.367668097,0.204610951
10052,-0.487394958,0.15862069,-1.9,-0.438596491,0.246376812
10074,-0.877697842,-0.20917917,0.820754717,-0.582132565,0.026442308
10087,-0.58974359,0.206896552,5,-0.173076923,0.373913043
10088,-1.021818182,-0.202572347,-1.87,-0.464,0.150442478
10137,-1.063063063,-0.210526316,0.535714286,-0.627118644,0.1
10158,2,0,-1.7,1,1
10160,-1.097315436,-0.202830189,2.088888889,-0.492647059,0.091891892
10171,-0.555555556,-0.315508021,-2.742857143,-0.677419355,-0.169491525
10182,-1.257142857,-0.347254447,-0.53125,-0.667943806,-0.104413348
10185,-0.776,-0.005813953,2.989473684,-0.413793103,0.230769231
10191,-0.665427509,-0.046454768,2.6,-0.540740741,0.174418605
10201,-1,-0.167785235,-3.35,-0.410714286,0.158536585
10267,-0.773148148,-0.006802721,2.307692308,-0.389830508,0.253424658
10268,-1.142857143,-0.081967213,2.5,-0.36,0.263157895
10294,-0.720698254,-0.008,2.157333333,-0.368421053,0.18275154
10307,-0.966666667,-0.194539249,-0.426086957,-0.595,0.082089552
10310,-1,-0.104404568,1.66440678,-0.560330579,0.033921303
10316,-0.778688525,-0.03965702,2.293939394,-0.467465753,0.2
1957,-0.942748092,-0.102493075,-1.663157895,-0.503649635,0.169491525
1988,-0.927031509,-0.119897959,-1.484615385,-0.495559503,0.128342246
2032,-0.388888889,0.130434783,3.9,-0.375,0.217391304
2091,-0.932270916,-0.02688172,3.469230769,-0.472803347,0.197368421
2100,-0.71257485,-0.078431373,0.776923077,-0.388888889,0.225490196
2101,-0.808743169,-0.05,0.18,-0.445783133,0.198237885
2122,-0.921135647,-0.004464286,2.506666667,-0.422077922,0.229268293
2140,-0.418918919,0.007092199,1.9,-0.685393258,0.18699187
2148,0.5,-0.625,NaN,-1,-0.454545455
2160,-1.029455081,-0.208510638,-2.202816901,-0.493630573,0.083040936
2165,-0.94,-0.07473983,2.792307692,-0.392809587,0.223414634
2170,-0.957746479,-0.215053763,-2.815384615,-0.614814815,0.032967033
2175,-0.810483871,-0.032581454,2.605555556,-0.4,0.150326797
2177,-0.652777778,-0.007751938,0.85,-0.649350649,0.146341463
2178,-1.364583333,-0.462365591,1.56875,-0.630434783,-0.087719298
2179,-0.946428571,-0.214285714,0.49,-0.582608696,0.055555556
2210,-0.852517986,-0.004878049,0.177777778,-0.3984375,0.228571429
2239,-0.815195072,-0.05766526,1.631818182,-0.463869464,0.18815331
2240,-0.759689922,-0.037837838,0.4,-0.448818898,0.156069364
2248,-0.828915663,-0.050570962,2.735714286,-0.413105413,0.172962227
2251,-0.875570776,-0.146987952,0.923076923,-0.504739336,0.096118299
2271,-0.680203046,-0.04040404,0.47037037,-0.5,0.141630901
2274,-0.824159021,0.035227565,2.368837209,-0.312220869,0.230635335
2299,-0.897025172,-0.103125,0.715,-0.444976077,0.090252708
2312,-0.915662651,0,2.925,-0.405405405,0.243697479
2335,-0.838407494,-0.097744361,0.594117647,-0.588785047,0.106941839
2350,-0.867256637,-0.031847134,-1.65,-0.466666667,0.161764706
2397,-0.401960784,0.137777778,3.291891892,-0.514754098,0.322429907
2411,-0.882352941,-0.043478261,1.7,-0.6,0.12
2427,-0.815151515,-0.060085837,2.871764706,-0.380622837,0.210526316
2430,-1.032258065,-0.117647059,NaN,-0.483870968,0.219512195
2467,-0.78814262,0.023958928,1.804072398,-0.423942394,0.247473289
2481,-0.86294896,-0.101857783,-0.602597403,-0.587357331,0.125322997
2488,1,1,1.7,-1,1
2493,-0.918088737,-0.069444444,2.81875,-0.487719298,0.165217391
2520,-1.363636364,-0.365853659,1.7,-0.617021277,-0.0625
2526,-0.948863636,-0.031111111,3.533333333,-0.428571429,0.260504202
2535,-0.686046512,-0.077844311,2.2875,-0.631067961,0.015873016
2547,-0.737030411,0.048919226,3.144444444,-0.431095406,0.217514124
2552,-0.78125,-0.086206897,-1.25,-0.620689655,0.084337349
2554,-1.06779661,-0.079365079,-0.533333333,-0.32,0.259259259
2561,-0.993975904,-0.24497992,-0.283333333,-0.609195402,0.077669903
2567,-1.090361446,-0.161290323,-2.222222222,-0.634408602,0.050691244
2569,-0.986486486,-0.188059701,0.886666667,-0.540540541,0.147766323
2585,-0.875,-0.157894737,4.15,-0.428571429,0.238095238
2592,1,1,NaN,-1,0
2602,-0.412587413,0.194968553,3.838461538,-0.232142857,0.264516129
2603,-0.330434783,0.185185185,3.036363636,-0.523809524,0.206349206
2604,0.118881119,0.177142857,0.7,-0.565217391,0.267175573
2614,-0.927631579,-0.009708738,2.525,-0.486842105,0.251184834
2632,-1.17539267,-0.264367816,-0.925714286,-0.582089552,0.060606061
2644,-0.610500275,-0.021487603,2.504496788,-0.467651403,0.208050755
2648,-0.914728682,-0.062146893,-5,-0.498039216,0.208459215
2665,-0.739726027,0.034313725,3.31,-0.330855019,0.292479109
2677,-0.863799283,-0.014492754,1.434375,-0.440816327,0.219730942
2690,-0.895027624,0.025,2.581818182,-0.404958678,0.278810409
2692,-0.857321652,-0.102150538,1.116666667,-0.465425532,0.187560739
2695,-0.423423423,-0.085201794,0.957142857,-0.6,0.068965517
2701,-0.934210526,-0.215686275,-0.825,-0.4375,0.088607595
2705,-0.849162011,-0.016393443,-0.7,-0.529411765,0.128440367
2709,-0.541666667,0.063829787,NaN,-0.705882353,0.189189189
2725,-0.866666667,-0.052401747,0.114285714,-0.363057325,0.230769231
2745,-0.899696049,-0.002820874,-0.341333333,-0.402085747,0.216446858
2753,1,0.333333333,NaN,-1,0
2756,-0.731707317,0.016949153,-1.057142857,-0.493333333,0.072164948
2761,-0.7,-0.257142857,5,-0.655172414,-0.096774194
2762,-0.826558266,-0.134099617,1.56,-0.50140056,0.187637969
2763,-0.676923077,-0.021276596,3,-0.440677966,0.253333333
2764,-0.68627451,0.057553957,1.116666667,-0.489361702,0.355555556
2766,-0.936585366,0.014814815,3.333333333,-0.425641026,0.29209622
2770,-0.910891089,0.086092715,3.333333333,-0.384615385,0.246575342
2784,-1.111111111,-0.074626866,0.763888889,-0.491891892,0.119047619
2790,-0.734939759,0.001287001,-0.120689655,-0.431578947,0.155482815
2794,-0.94834149,-0.13659238,1.000714286,-0.507075472,0.122282609
2806,-1.206266319,-0.236768802,-1.129032258,-0.602150538,-0.113207547
2822,1,1,NaN,-1,0
2825,-1.016081871,-0.230056613,0.261029412,-0.55590801,0.027315914
2827,-0.642458101,0.121771218,2.954545455,-0.411111111,0.307086614
2830,-0.749140893,0.046979866,0.52,-0.420074349,0.284883721
2837,-0.870588235,0.197183099,2.223809524,-0.367088608,0.312977099
2845,-0.416184971,0.050980392,3.685714286,-0.353658537,0.264150943
2848,-1.5,1,NaN,NaN,-1
2854,-0.84439834,-0.033557047,2.071428571,-0.376106195,0.254515599
2876,-0.775,-0.006872852,1.981481481,-0.431372549,0.227686703
2878,-0.719557196,-0.048421053,3.341666667,-0.509025271,0.173020528
