doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
1,-1.666666667,-0.6315789,0,-0.692307692,-0.1875
2,-1.6,-0.4166667,-1.05,-0.894736842,-0.555555556
3,1,-0.2,0,-1,-0.6
4,-1,0,0,0,-0.333333333
5,-0.166666667,0.2,0,-0.6,1
6,0,1,-5,0,0
7,-1.324324324,-0.3225806,0.85,-0.588235294,-0.085714286
8,-0.166666667,0.18181818,0,-0.6,0
9,1,0.2,2.5,0,0
10,0,1,-5,1,0
11,-1.142857143,-0.1428571,0,-0.333333333,0.222222222
12,-0.933333333,-0.0666667,-5,-0.333333333,0.1
13,0,0,-5,0,1
14,0,0,0,0,0
15,0,0,0,0,0
16,-2.15,-0.8666667,-5,-1,-0.866666667
17,1.5,0,0,-0.333333333,-0.333333333
18,-0.5,-0.7142857,-3.9,-1,0
19,-1.681818182,-0.3617021,0,-0.894736842,-0.5
20,-1.666666667,-1,-5,0,-1
21,-1.133333333,-0.2941176,-4.166666667,-0.333333333,0.157894737
22,-2.1875,-0.7777778,2.233333333,-0.866666667,-0.529411765
23,-1.666666667,-0.1428571,-5,0,-0.333333333
24,-1.282051282,-0.7142857,2,-1,-0.5
25,-2,-0.1428571,-5,-1,1
26,-1.8125,-0.92,0,-1,-0.6
27,0,-0.3333333,2.5,0,1
28,-1.176470588,-0.3913043,-5,-0.384615385,0.153846154
29,2,0.42857143,0.55,0,-0.333333333
30,0,1,-5,1,1
31,0,-1,-4.433333333,0,1
32,1,0,-2.5,0,1
33,1,-0.5,0,-1,-1
34,-2,-1,-5,0,0
35,-0.5,0.14285714,-1.35,0,0
36,-2.133333333,-0.84,0,-1,-0.6
37,-1.702702703,-0.4594595,-5,-0.882352941,-0.724137931
38,-0.761904762,0.02564103,0.371428571,-0.473684211,0.363636364
39,0,0,0,0,0
40,0,0.33333333,0,0,1
41,-2,-0.5555556,2.5,-0.5,-1
42,0.5,-0.5,5,0,-1
43,0,1,0,0,1
44,-0.85,0.08571429,3.3,-0.411764706,0.391304348
45,0,-0.3333333,0,0,0
46,-1.882352941,-0.7142857,-5,-0.866666667,-0.733333333
47,-2,-0.7692308,0,-1,-0.714285714
48,-2.133333333,-0.84,0,-1,-0.846153846
49,2,1,-3.75,0,-1
50,-2.666666667,-0.2,-5,-1,0.2
51,-1.9375,-1,-5,-1,-0.846153846
52,-1.736842105,-1,-0.833333333,-1,-0.5
53,0,1,-2.5,0,1
54,-2.133333333,-0.84,1.7,-0.866666667,-0.714285714
55,1.083333333,0.40740741,4.171428571,-0.428571429,1
56,-0.4,0.09090909,-5,-0.6,-0.2
57,-0.764705882,0.04,-4.166666667,-0.384615385,0.238095238
58,1.125,0.07692308,0.425,0,0
59,-1.066666667,0,-5,-0.285714286,0.047619048
60,-2,0.33333333,1.7,0,0
61,0,0,0,0,0
62,-1.2,-0.25,-5,-0.333333333,0.1
63,-1.166666667,-0.1384615,-3.571428571,-0.684210526,-0.230769231
64,-0.5,0,-4.16,0,0
65,-0.166666667,0.17391304,-3.3,-0.636363636,0.333333333
66,-1.142857143,-0.0666667,0,-0.333333333,0.222222222
67,2,1,-5,0,-1
68,-2.133333333,-0.84,0,-1,-0.846153846
69,-1.387096774,-0.65,-5,-0.692307692,-0.212121212
70,0,-1,0,-1,-0.333333333
71,3,1,0,0,-1
72,0,0,0,0,0
73,0,0,-5,0,0
74,2.4,0.25,2.66,-1,0.333333333
75,0,1,-3.75,0,-0.333333333
76,-1,0,0,0,-1
77,-0.666666667,0,-5,0,-0.428571429
78,-1,0,0,0,0
79,-1.142857143,-0.1428571,0,-0.333333333,0.222222222
80,2.333333333,0.42857143,0,0,0
81,-1.941176471,-0.5882353,3.3,-1,-0.75
82,-2.125,-1,-1.7,-1,-0.714285714
83,2,0,0,0,1
84,-1.333333333,-0.7241379,3.68,-1,-0.714285714
85,-1.2,-0.1428571,-5,-0.384615385,0.2
86,-1,-0.2222222,0,-0.384615385,0.272727273
87,0,0,-2.5,0,0
88,-1,0,-5,-0.555555556,0.076923077
89,0,1,-5,-1,0
90,0,0,-5,0,0
91,0,-1,0,0,1
92,0,0,0,0,0
93,-1,-0.5,-5,-1,-1
94,-0.75,-0.1111111,-3.35,-0.333333333,0.043478261
95,0,0,0,0,0
96,-1,0,1.65,0,1
97,2.5,0.77777778,4.433333333,1,0
98,0,1,-1.7,0,0.333333333
99,-1.647058824,-0.6551724,-5,-0.866666667,-0.666666667
100,-1.142857143,-0.1428571,0,-0.333333333,0.222222222
101,-1.8125,-0.2777778,2.5,-0.75,-0.714285714
102,0,1,-5,0,0
103,-0.416666667,0.13513514,-5,-0.565217391,0.214285714
104,0,0,3.3,0,1
105,2.5,1,2.5,1,1
106,0,1,-2.5,0,1
107,-1.85,-0.9285714,1.875,-1,-0.666666667
108,-1.8125,-0.8461538,0,-1,-0.846153846
109,0,0,-2.5,0,0
110,0,0,0,0,1
111,0,-1,0,0,0
112,0,0,-5,0,0
113,0.333333333,-0.3333333,2.5,-1,0
114,0,0,0,-1,0
115,0,0,0,0,0
116,-1.142857143,-0.0666667,-2.5,-0.333333333,0.3
117,2.5,0.11111111,-3.35,0,-0.4
118,-2.133333333,-1,0,-1,-0.714285714
119,-1.454545455,-0.3333333,-4.1625,-0.916666667,-0.333333333
120,-1.9375,-0.9230769,0,-1,-0.714285714
121,-1,0,0,0,-1
122,-1.571428571,-0.4545455,0,-0.894736842,-0.529411765
123,2,0,0,0,1
124,2,0.33333333,2.5,1,1
125,0,0,-3.333333333,0,-0.5
126,-1.75,-0.9285714,0,-1,-0.473684211
127,-0.230769231,0.18181818,0,-0.6,0.2
128,-1.25,-0.1111111,-3.883333333,-0.5,-0.333333333
129,1,-1,0,0,0
130,-1.5,0.33333333,0,0,0
131,0,0,0,0,0
132,0,0,-3.333333333,0,0
133,-1.526315789,-0.3076923,-3.35,-0.529411765,-0.037037037
134,-0.5,-1,0,0,0.333333333
135,1.75,1,5,0,1
136,-1.571428571,-0.5,-3.5,-1,-0.714285714
137,1,-0.6,0,-1,0.5
138,-1.5,0,0,-1,0
139,0,0,1.7,0,1
140,-1.212121212,-0.4545455,1.675,-0.703703704,-0.157894737
141,-1.8125,-0.5,2.5,-0.866666667,-0.6
142,0.285714286,0.04347826,-5,-0.6,0.2
143,0,0,-2.5,0,0
144,0,-1,0,0,-0.333333333
145,-1.142857143,0.15789474,-2.5,-0.066666667,0.333333333
146,-2.133333333,-0.92,-2.5,-1,-0.6
147,0,0.33333333,-5,0,1
148,-1.2,-0.1904762,5,-0.4,-0.411764706
149,-2.133333333,-0.9166667,0,-1,-0.714285714
150,-1.25,-0.1698113,4.575,-0.714285714,-0.6
151,-1,0.5,-2.1,0,-1
152,-1,0,-5,0,-0.6
153,-2,-0.9310345,-5,-1,-0.875
154,-1.739130435,-0.6315789,2.075,-0.9,-0.666666667
155,-1,1,0,0,-1
156,2.4,0.69230769,1.388888889,1,1
157,-5,0.2,-5,0,-1
158,0.2,0.33333333,-5,-0.2,-0.142857143
159,-1.760869565,-0.7142857,-0.2,-0.8,-0.377777778
160,-0.703703704,-0.1923077,3.214285714,-0.8,-0.454545455
161,-1.266666667,-0.25,0,-0.333333333,0.142857143
162,3,-1,3.35,0,0.5
163,2,0.66666667,3.35,-1,-1
164,-1.473684211,-0.7777778,0.833333333,-1,-0.857142857
165,1.5,-0.3333333,-3.35,-1,-1
166,-1,-0.2727273,0,-0.529411765,0.142857143
167,-2.133333333,-0.92,5,-1,-0.857142857
168,-3,0,-2.5,0,-1
169,-2,-0.9183673,-1.65,-1,-0.8
170,-2,-1,0,-1,0.333333333
171,-2.105263158,-0.8378378,-5,-0.882352941,-0.764705882
172,0.6,0.06666667,0.66,-0.2,-0.666666667
173,0,0,0,0,0
174,1,-0.2,-4.375,-1,-1
175,-0.9375,0,-5,-0.333333333,0.130434783
176,-0.25,0.16666667,0,-1,-1
177,-1.941176471,-0.9259259,0,-1,-0.857142857
178,-3,-0.3333333,-4.642857143,0,-0.714285714
179,0,0.04,-3.3,-0.666666667,-0.2
180,0,0.2,0,0,-1
181,2,1,1.675,0,1
182,-1.823529412,-0.7142857,2.5,-0.866666667,-0.857142857
183,-2,-1,0,-1,0
184,0.333333333,0.11111111,0,-0.666666667,0.142857143
185,-2,0.2,1.7,-0.333333333,0
186,1.1875,0.27272727,-1.875,-0.666666667,0.5
187,-2,0,0,-1,0
188,0.666666667,0,-5,0,-0.6
189,0,-0.3333333,5,-1,0
190,-1.142857143,-0.0666667,0,-0.333333333,0.222222222
191,-1,-0.0384615,3.3,-0.666666667,0.103448276
192,-0.2,0.4,-5,0.333333333,-1
193,0,0,0,0,0
194,0.75,0,3.3,-1,0
195,2,-0.3333333,-1.1,-1,0.428571429
196,-0.913043478,-0.025641,0,-0.473684211,0.363636364
197,-2.058823529,-0.9230769,0,-1,-0.625
198,2,0.33333333,-3,0,-0.2
199,1,-0.7142857,0,-1,-0.5
200,0,0,5,-1,0
201,-1.633333333,-0.6,0,-0.692307692,-0.25
202,0,1,-5,1,0
203,3,-0.5,1.7,-1,0.333333333
204,-1,-0.0588235,4.433333333,-0.333333333,0.142857143
205,0,1,-4.166666667,1,-1
206,0,0.66666667,0,-0.5,-0.5
207,-1.8,-0.2307692,-1.1,-1,-0.25
208,-1.9375,-0.5483871,1.68,-0.866666667,-0.6
209,-2.055555556,-0.7575758,-2,-0.75,-0.733333333
210,2,0,0,0,1
211,-1.142857143,-0.1428571,0,-0.333333333,0.222222222
212,0,0,0,0,0
213,-0.470588235,0.13043478,0.66,-0.230769231,0.157894737
214,0,1,0,0,1
215,0,0.27272727,-4.166666667,-0.6,1
216,0,0,-3.75,0,-1
217,0,0,-3.3,0,1
218,-2.133333333,-1,0,-1,-0.846153846
219,0.444444444,0.36,5,-0.333333333,1
220,1,0,-2.5,-1,0.6
221,0,0,0,0,-1
222,-2,-1,0,-1,-1
223,3,-0.3333333,0,0,1
224,-1.736842105,-1,0,-1,-0.625
225,-0.740740741,0.11864407,-5,-0.391304348,0.36
226,-1.5,-0.5,0,-1,0
227,0,0,3.333333333,0,0
228,-0.866666667,-0.1764706,0,-0.384615385,0.2
229,-2.133333333,-0.6428571,-2.5,-0.75,-0.846153846
230,-1.9375,-0.7931034,0,-1,-0.857142857
231,1.142857143,-0.2,-3.9,-0.5,-0.666666667
232,-1.483870968,-0.4222222,0,-0.517241379,-0.212121212
233,-1.34375,-0.5897436,4.166666667,-0.703703704,-0.1875
234,1,-0.5,0,-1,-1
235,1,0,-2.5,0,1
236,-2,0,0,0,0
237,-1,0,-2.933333333,0,-0.5
238,0.5,0.38461538,5,-0.142857143,0.666666667
239,-2.133333333,-1,0,-1,-0.764705882
240,-0.692307692,-0.4166667,-5,-0.5,0.047619048
241,-1.941176471,-0.9230769,-2.5,-1,-0.75
242,-1,-0.2,0,-0.285714286,0.3
243,-1,1,0,0,-0.333333333
244,0,0,-5,0,0
245,-1.875,-0.84,3.866666667,-1,-0.846153846
246,-1.633333333,-0.6410256,0,-0.692307692,-0.151515152
247,2,1,-1.25,0,-1
248,-1.652173913,-0.4545455,-2.5,-0.894736842,-0.625
249,-0.823529412,-0.1111111,3.3,-0.285714286,0.037037037
250,-1.571428571,-0.375,0,-0.8,-0.625
251,-2.133333333,-0.8518519,0,-1,-0.75
252,1.222222222,0.07692308,4.375,-0.333333333,0.25
253,-1.377358491,-0.4626866,-3.5,-0.555555556,-0.127272727
254,-1.142857143,-0.1428571,0,-0.333333333,0.222222222
255,-1.093023256,-0.2345679,-2.5,-0.675675676,-0.052631579
256,0,0,0,0,0
257,0,0,1.666666667,-1,0
258,-1.368421053,-0.3333333,0.32,-0.555555556,0
259,-0.933333333,-0.125,0,-0.333333333,0.263157895
260,-1.5,0,-4.433333333,0,0
261,2,1,1.666666667,0,0.6
262,3,1,5,0,1
263,0,0,0,0,0
264,0,0,0,0,0
265,-2.133333333,-1,0,-1,-0.846153846
266,1.5,0,-5,0,0
267,-2.133333333,-1,5,-1,-0.846153846
268,1.5,0,-5,0,0.5
269,-2.133333333,-0.92,0,-1,-0.714285714
270,-0.666666667,0.33333333,-5,0,-0.111111111
271,-2,-1,0,-1,-0.857142857
272,-3,-1,0,0,-0.5
273,0.5,0.75,0,1,1
274,-0.9375,-0.3,-5,-0.384615385,0.272727273
275,1,1,-3.3,0,1
276,-0.444444444,-0.1612903,-5,-0.777777778,-0.142857143
277,1,0,-1.7,-1,0
278,-1.947368421,-0.8064516,-3.75,-1,-0.866666667
279,-2.166666667,-0.4666667,-5,-1,-0.555555556
280,-1.9375,-0.8571429,0,-1,-0.857142857
281,-1.611111111,-0.3157895,2.5,-0.578947368,-0.411764706
282,0,-1,0,0,-1
283,0,0,0,0,-0.333333333
284,-0.973684211,-0.0181818,-0.85,-0.3125,0.348837209
285,-1,-0.5,-3.75,-1,0.333333333
286,-2,-1,-5,-1,-1
287,3,0,0,-1,1
288,-1.25,-0.5,-5,-1,1
289,1,0,0,0,0
290,-1.5,-1,-2.614285714,-1,-0.7
291,-0.8,-0.3809524,2.08,-0.777777778,-0.3
292,-1.566666667,-0.6086957,0,-0.642857143,-0.235294118
293,-2.133333333,-0.9166667,0,-1,-0.846153846
294,-0.933333333,-0.1,-4.375,-0.333333333,0.181818182
295,0,0,1.7,0,0
296,-2.133333333,-0.92,0,-1,-0.714285714
297,-2,0.66666667,-3.75,1,0
298,-1.333333333,-0.25,-2.2,-0.333333333,-0.333333333
299,-0.9375,-0.2,-5,-0.384615385,0.222222222
300,-3,-0.3333333,-5,0,1
301,-0.85,0.05882353,0,-0.411764706,0.3
302,0,0,0,0,0
303,2.5,1,2.9,1,1
304,-2.133333333,-0.9166667,0,-1,-0.846153846
305,0,0,0,0,0
306,-2.133333333,-0.84,-2.5,-1,-0.714285714
307,-2,-1,0.625,0,1
308,0,0.2,-5,0,0
309,-1.034482759,-0.1428571,0,-0.333333333,0.263157895
310,0,0,0,0,0
311,0,0,-2.5,1,0
312,0,0.33333333,-1.65,0,1
313,-1,-0.25,0.566666667,-1,0.2
314,-3,-1,-4.642857143,0,-1
315,0,0,0,0,1
316,3,0.33333333,0,-1,1
317,-2.1875,-0.7931034,-5,-0.875,-0.866666667
318,-2.133333333,-1,0,-1,-0.846153846
319,0,-0.2,0,-1,-0.142857143
320,0,0,-3.75,0,0
321,0,-1,-5,0,-1
322,-1.625,-0.7073171,-5,-0.692307692,-0.225806452
323,1,-0.3333333,0,-1,0
324,-1.214285714,-0.4285714,4.642857143,-0.828571429,-0.5
325,1.25,0,5,-1,-0.6
326,-2,-0.7142857,-5,-1,-0.5
327,0,0.33333333,1.7,0,1
328,-1.875,-0.9166667,-5,-1,-0.75
329,0,0.66666667,0,0,0
330,0,0,-3.75,0,0
331,2,0.66666667,-1.25,1,1
332,1,-1,5,-1,0.5
333,0,0,0,0,0
334,1,-0.2,0,-1,-1
335,-0.5,0.33333333,-2.5,-1,-0.333333333
336,-1.8125,-0.5333333,1.7,-0.875,-0.846153846
337,-1.058823529,0.23809524,0,-0.066666667,0.222222222
338,-1.8,-0.9310345,-5,-1,-0.888888889
339,-2.032258065,-0.7818182,-5,-1,-0.857142857
340,-0.166666667,0.2,0,-0.6,1
341,0.111111111,0.25,-5,-0.8,-0.25
342,-0.85,0.02857143,0,-0.411764706,0.3
343,-0.5,0.15384615,0,-0.428571429,0.6
344,0.272727273,0.25925926,-3.75,-0.142857143,0.666666667
345,-1,-1,-2.5,-1,-0.5
346,0,0.25,-1.666666667,-1,0
347,1,-0.6,-5,-1,0
348,-1.541666667,-0.372549,0,-0.80952381,-0.555555556
349,2,1,0,0,-1
350,-1.655172414,-0.6,-3.75,-0.692307692,-0.25
351,-1.87755102,-0.75,-5,-0.761904762,-0.428571429
352,-1.5,0.2,0,-0.333333333,0
353,-1.558823529,-0.6226415,-2.5,-0.655172414,-0.243243243
354,0.333333333,0.25,-5,0,0.333333333
355,-1.611111111,-0.862069,3.35,-1,-0.625
356,-1.5625,-0.5714286,3.35,-0.703703704,-0.105263158
357,0,0,5,0,0
358,-1.944444444,-0.7777778,-5,-1,-0.75
359,1,0.6,0,1,0
360,2,1,5,0,1
361,0,0,0,0,0
362,-1.666666667,-0.6756757,0,-0.692307692,-0.225806452
363,-1.887096774,-0.7752809,-5,-0.821428571,-0.5
364,-1.5,0.2,0,0,0
365,-1.566666667,-0.4883721,5,-0.741935484,-0.222222222
366,-1.9375,-0.7419355,-2.5,-1,-0.733333333
