country,date,avg_tone
ZWE,2015-02-19,-3.776683087
ZWE,2015-04-24,3.597122302
ZWE,2015-05-12,-2.912621359
ZWE,2015-06-04,-4.63980464
ZWE,2015-07-10,-6.097560976
ZWE,2016-02-23,0.909090909
ZWE,2016-03-30,-1.025641026
ZWE,2016-04-06,-4.881266491
ZWE,2016-04-13,0
ZWE,2016-04-24,1.340482574
ZWE,2016-06-09,-3.813111287
ZWE,2016-06-10,-4.228163861
ZWE,2016-06-13,-3.184713376
ZWE,2016-06-18,0.148809524
ZWE,2016-06-20,0
ZWE,2016-07-03,1.636904762
ZWE,2016-07-07,-4.754098361
ZWE,2016-07-10,-4.761904762
ZWE,2016-07-18,-4.160583942
ZWE,2016-07-19,-3.05958132
ZWE,2016-08-24,-3.013029316
ZWE,2016-09-13,-5.792163543
ZWE,2016-11-30,0.823723229
ZWE,2017-01-29,-1.419354839
ZWE,2017-03-06,-2.879078695
ZWE,2017-03-17,-3.956834532
ZWE,2017-03-24,-7.256637168
ZWE,2017-04-03,-1.541425819
ZWE,2017-04-13,-3.870967742
ZWE,2017-04-17,-3.380326461
ZWE,2017-05-01,-3.181818182
ZWE,2017-06-26,-0.431034483
ZWE,2017-07-05,-1.877133106
ZWE,2017-07-31,-3.703370933
ZWE,2017-08-01,-3.853564547
ZWE,2017-08-02,-5.109487446
ZWE,2017-08-03,-5.359661495
ZWE,2017-08-05,-6.593406593
ZWE,2017-08-09,0.4
ZWE,2017-08-21,-4.204204204
ZWE,2017-09-03,-2.138157895
ZWE,2017-09-11,-0.704225352
ZWE,2017-09-14,0.808625337
ZWE,2017-09-17,-0.664893617
ZWE,2017-09-19,-2.156862745
ZWE,2017-09-20,-4.980557018
ZWE,2017-09-21,-4.210526316
ZWE,2017-09-22,-0.406504065
ZWE,2017-09-23,-1.632138114
ZWE,2017-09-24,-4.012185863
ZWE,2017-09-25,-2.953586498
ZWE,2017-09-30,-2.023235357
ZWE,2017-10-02,-2.890290958
ZWE,2017-10-11,0.801778972
ZWE,2017-10-12,0.877304327
ZWE,2017-10-13,0.514229528
ZWE,2017-10-14,0.920245399
ZWE,2017-10-15,0.770416025
ZWE,2017-10-18,1.020122699
ZWE,2017-10-23,-4.041450777
ZWE,2017-10-24,-3.434065934
ZWE,2017-10-27,-3.408507933
ZWE,2017-11-15,-0.997280145
ZWE,2017-11-21,-3.108465608
ZWE,2017-11-22,-2.580645161
ZWE,2017-11-24,-4.104979812
ZWE,2017-11-25,-4.72972973
ZWE,2017-11-26,-1.754385965
ZWE,2017-11-28,-1.182173513
ZWE,2017-11-30,-3.03030303
ZWE,2017-12-03,-2.072829132
ZWE,2017-12-05,-3.149606299
ZWE,2017-12-07,-3.149606299
ZWE,2017-12-26,-2.658486708
ZWE,2018-01-31,-2.034587996
ZWE,2018-02-01,-1.98019802
ZWE,2018-02-06,-2.490039841
ZWE,2018-02-07,-3.167898627
ZWE,2018-02-10,-2.919708029
ZMB,2015-09-23,1.643192488
ZMB,2017-09-20,-1.727861771
ZMB,2017-09-21,-1.673640167
ZMB,2017-09-27,-1.727861771
ZAF,2015-02-23,0.44345898
ZAF,2015-02-24,2.028023599
ZAF,2015-02-25,-0.457456542
ZAF,2015-06-27,-4.848484848
ZAF,2015-08-05,-1.946902655
ZAF,2015-08-20,-4.335260116
ZAF,2015-08-24,-2.265372168
ZAF,2015-08-31,1.991150442
ZAF,2015-12-23,-4.701375869
ZAF,2015-12-24,-4.343823716
ZAF,2015-12-25,-3.067484663
ZAF,2016-01-07,-3.125
ZAF,2016-01-08,-2.816901408
ZAF,2016-03-07,-6.108485512
ZAF,2016-03-24,-1.183431953
ZAF,2016-05-03,-1.449275362
ZAF,2016-06-15,-2.292906214
ZAF,2016-06-16,-2.322760919
ZAF,2016-06-17,-6.435137896
ZAF,2016-07-08,-7.843137255
ZAF,2016-08-26,-7.894736842
ZAF,2016-09-08,-12.09016393
ZAF,2016-09-10,-2.831257078
ZAF,2016-09-16,-3.273014093
ZAF,2016-09-18,-2.58302583
ZAF,2016-09-29,-4.911180773
ZAF,2016-09-30,-4.911180773
ZAF,2017-01-12,-4.534313725
ZAF,2017-01-14,-1.603206413
ZAF,2017-01-25,-1.960784314
ZAF,2017-04-22,-4.244694132
ZAF,2017-07-12,-6.451612903
ZAF,2017-07-29,0.515463918
ZAF,2017-08-06,-2.464065708
ZAF,2017-08-07,-2.713987474
ZAF,2017-09-03,-1.630434783
ZAF,2017-09-05,-5.737704918
ZAF,2017-09-25,0.206398349
ZAF,2017-09-26,-2.919708029
ZAF,2017-11-23,-4.436860068
ZAF,2017-12-01,-7.462686567
ZAF,2018-01-11,0.512820513
YEM,2015-03-28,2.946428571
YEM,2015-04-23,-0.555555556
YEM,2015-05-08,0.862068966
YEM,2015-05-18,-1.923076923
YEM,2015-05-19,-0.458715596
YEM,2015-06-07,-4.565217391
YEM,2015-07-30,-3.196930946
YEM,2015-08-17,-3.075489282
YEM,2015-08-18,-2.928127773
YEM,2015-08-24,-2.772808587
YEM,2015-08-31,-1.138952164
YEM,2015-09-07,-0.898876404
YEM,2015-10-10,5.882352941
YEM,2015-10-23,0.849118223
YEM,2015-12-03,-0.880088009
YEM,2016-02-27,-6.666666508
YEM,2016-03-16,-6.025641026
YEM,2016-03-18,-5.517241379
YEM,2016-03-25,-3.345280765
YEM,2016-04-23,-7.407407407
YEM,2016-05-06,1.369863014
YEM,2016-05-21,-3.272727273
YEM,2016-06-02,-13.49693252
YEM,2016-07-01,0
YEM,2016-07-06,-5.063291139
YEM,2016-07-09,-4.379562044
YEM,2016-07-19,-4.096745487
YEM,2016-08-04,-2.293577982
YEM,2016-08-17,-0.73800738
YEM,2016-08-19,-2.113821138
YEM,2016-08-24,-1.398601399
YEM,2016-08-29,0.900900901
YEM,2016-09-09,-3.639649679
YEM,2016-09-10,-8.426966292
YEM,2016-09-13,-4.310344828
YEM,2016-10-24,-4.311543811
YEM,2016-11-05,-1.278409091
YEM,2016-11-07,3.606557377
YEM,2016-12-01,-4.938271605
YEM,2017-02-15,-1.818181818
YEM,2017-03-06,-1.433691756
YEM,2017-03-07,-4.827586207
YEM,2017-03-08,-4.827586207
YEM,2017-03-09,-0.3125
YEM,2017-03-12,-5.14974372
YEM,2017-03-14,-4
YEM,2017-03-16,-3.977798335
YEM,2017-03-19,-7.846628266
YEM,2017-04-08,-3.383458647
YEM,2017-04-09,-5.245901639
YEM,2017-04-13,-2.06185567
YEM,2017-04-16,-6.770833333
YEM,2017-04-17,-4.701148635
YEM,2017-04-20,-8.021390374
YEM,2017-04-21,-5.219938854
YEM,2017-04-24,-5.08962661
YEM,2017-04-25,-5
YEM,2017-04-30,-6.336633663
YEM,2017-05-01,-5.263157895
YEM,2017-05-05,-6.994467346
YEM,2017-05-06,-5.351170569
YEM,2017-05-13,-0.566343042
YEM,2017-05-16,-3.721278721
YEM,2017-05-21,-3.496503497
YEM,2017-05-23,-4.10022779
YEM,2017-06-18,-6.137264102
YEM,2017-06-21,-7.971014493
YEM,2017-06-27,-4.120879121
YEM,2017-06-30,-2.473206925
YEM,2017-07-01,-2.473206925
YEM,2017-07-04,-1.89329023
YEM,2017-07-05,-4.155601334
YEM,2017-07-06,-4.144851281
YEM,2017-07-07,-2.502017756
YEM,2017-08-07,-3.682890676
YEM,2017-08-08,-6.403940887
YEM,2017-08-14,-0.934579439
YEM,2017-08-25,-7.317073171
YEM,2017-08-26,-4.175462798
YEM,2017-09-02,-6.756756757
YEM,2017-09-03,-3.349282297
YEM,2017-09-07,-1.322751323
YEM,2017-09-10,-8.196721311
YEM,2017-09-17,3.225806452
YEM,2017-09-19,0
YEM,2017-09-20,0.192678227
YEM,2017-09-21,-7.327586207
YEM,2017-09-25,-4.094135757
YEM,2017-09-26,-6.225680934
YEM,2017-09-27,-5.590873824
YEM,2017-09-30,-6.578375312
YEM,2017-10-01,-6.241872562
YEM,2017-10-11,-6.842923795
YEM,2017-10-12,-5.041772051
YEM,2017-10-17,-5.882352941
YEM,2017-10-18,-4.201233532
YEM,2017-10-21,-2.263648469
YEM,2017-11-02,-7.407407407
YEM,2017-11-06,-3.908468348
YEM,2017-11-07,0
YEM,2017-11-09,-6.819898581
YEM,2017-11-10,-5.988064281
YEM,2017-11-11,-3.022932592
YEM,2017-11-17,-3.590814196
YEM,2017-12-02,-0.490196078
YEM,2017-12-05,-3.403379629
YEM,2017-12-06,-3.455284553
YEM,2017-12-07,-5.651195322
YEM,2017-12-17,-0.5
YEM,2017-12-20,-2.857142857
YEM,2017-12-21,-0.957822013
YEM,2017-12-22,-1.092043682
YEM,2017-12-28,-0.1953125
YEM,2017-12-30,-4.798265804
YEM,2018-01-17,-5.843289216
YEM,2018-01-27,-4.545454545
YEM,2018-01-30,-4.158415842
YEM,2018-02-16,-4.195804196
YEM,2018-02-19,-1.258503401
WST,2015-03-29,-1.428571429
WST,2015-09-21,-4.575163399
WST,2016-01-05,-0.409854585
