date,record
2014-12-28,3712
2015-01-04,18251
2015-01-11,22586
2015-01-18,28233
2015-01-25,30943
2015-02-01,33052
2015-02-08,37925
2015-02-15,879667
2015-02-22,1946454
2015-03-01,1932560
2015-03-08,1964412
2015-03-15,1940734
2015-03-22,1940091
2015-03-29,1817098
2015-04-05,1830187
2015-04-12,1874924
2015-04-19,1918836
2015-04-26,1776903
2015-05-03,1759473
2015-05-10,1815090
2015-05-17,1817202
2015-05-24,1686722
2015-05-31,1699118
2015-06-07,1746035
2015-06-14,1776574
2015-06-21,1819091
2015-06-28,1767166
2015-07-05,2135306
2015-07-12,2032560
2015-07-19,1947876
2015-07-26,2008728
2015-08-02,1927537
2015-08-09,1883833
2015-08-16,1921440
2015-08-23,2036896
2015-08-30,2047383
2015-09-06,2136429
2015-09-13,2165264
2015-09-20,2110482
2015-09-27,2190650
2015-10-04,2144113
2015-10-11,2127507
2015-10-18,1583565
2015-10-25,2119513
2015-11-01,2062607
2015-11-08,2116101
2015-11-15,2224402
2015-11-22,2162551
2015-11-29,2152265
2015-12-06,2130937
2015-12-13,2054142
2015-12-20,1627171
2015-12-27,1499852
2016-01-03,1941047
2016-01-10,2085362
2016-01-17,2146069
2016-01-24,2063475
2016-01-31,2193041
2016-02-07,2214522
2016-02-14,2326546
2016-02-21,2253346
2016-02-28,2184609
2016-03-06,2174213
2016-03-13,2185610
2016-03-20,2095527
2016-03-27,2098116
2016-04-03,2216408
2016-04-10,2186217
2016-04-17,2294706
2016-04-24,2343076
2016-05-01,2200396
2016-05-08,2265040
2016-05-15,2262142
2016-05-22,2335862
2016-05-29,2231723
2016-06-05,2185627
2016-06-12,2236950
2016-06-19,2227830
2016-06-26,2251877
2016-07-03,2102018
2016-07-10,2306375
2016-07-17,2262820
2016-07-24,2171680
2016-07-31,2072832
2016-08-07,2039765
2016-08-14,2031997
2016-08-21,2197197
2016-08-28,2211259
2016-09-04,2251073
2016-09-11,2183463
2016-09-18,2361818
2016-09-25,2333766
2016-10-02,2292145
2016-10-09,2291244
2016-10-16,2354000
2016-10-23,2274384
2016-10-30,2198899
2016-11-06,2251569
2016-11-13,2266465
2016-11-20,2102716
2016-11-27,2211606
2016-12-04,2205068
2016-12-11,2172271
2016-12-18,2122429
2016-12-25,1687612
2017-01-01,1772741
2017-01-08,2128669
2017-01-15,2259190
2017-01-22,2302242
2017-01-29,2511179
2017-02-05,2325415
2017-02-12,2383821
2017-02-19,2324183
2017-02-26,2310331
2017-03-05,2313786
2017-03-12,2333004
2017-03-19,2174642
2017-03-26,2179614
2017-04-02,2279665
2017-04-09,2138249
2017-04-16,2017556
2017-04-23,2178634
2017-04-30,1984608
2017-05-07,2044627
2017-05-14,2102350
2017-05-21,2121981
2017-05-28,1953818
2017-06-04,2097348
2017-06-11,2023590
2017-06-18,2046956
2017-06-25,1795417
2017-07-02,1828468
2017-07-09,1871657
2017-07-16,1791918
2017-07-23,1854822
2017-07-30,1862860
2017-08-06,1787732
2017-08-13,1856360
2017-08-20,1770787
2017-08-27,1239038
2017-09-03,1920054
2017-09-10,2035477
2017-09-17,2033790
2017-09-24,1872847
2017-10-01,1845995
2017-10-08,1928325
2017-10-15,1965629
2017-10-22,2016362
2017-10-29,1989701
2017-11-05,2074750
2017-11-12,2021418
2017-11-19,1839026
2017-11-26,1935959
2017-12-03,1988398
2017-12-10,1875789
2017-12-17,1732066
2017-12-24,1322318
2017-12-31,1444462
2018-01-07,1805571
2018-01-14,1894198
2018-01-21,1969113
2018-01-28,1871076
2018-02-04,1907019
2018-02-11,1893385
2018-02-18,1917275
2018-02-25,1414480
