Actor1CountryCode,DATE월,레코드 수
ZWE,2015년 2월,14
ZWE,2015년 4월,2
ZWE,2015년 5월,2
ZWE,2015년 6월,2
ZWE,2015년 7월,1
ZWE,2016년 2월,1
ZWE,2016년 3월,2
ZWE,2016년 4월,9
ZWE,2016년 6월,9
ZWE,2016년 7월,14
ZWE,2016년 8월,2
ZWE,2016년 9월,1
ZWE,2016년 11월,2
ZWE,2017년 1월,3
ZWE,2017년 3월,4
ZWE,2017년 4월,9
ZWE,2017년 5월,3
ZWE,2017년 6월,1
ZWE,2017년 7월,7
ZWE,2017년 8월,7
ZWE,2017년 9월,33
ZWE,2017년 10월,34
ZWE,2017년 11월,21
ZWE,2017년 12월,7
ZWE,2018년 1월,2
ZWE,2018년 2월,9
ZWE,2018년 3월,10
ZWE,2018년 4월,3
ZWE,2018년 5월,9
ZMB,2015년 9월,2
ZMB,2017년 9월,9
ZAF,2015년 2월,6
ZAF,2015년 8월,5
ZAF,2015년 12월,8
ZAF,2016년 1월,4
ZAF,2016년 3월,5
ZAF,2016년 6월,21
ZAF,2016년 7월,2
ZAF,2016년 8월,1
ZAF,2016년 9월,8
ZAF,2017년 1월,4
ZAF,2017년 7월,1
ZAF,2017년 8월,2
ZAF,2017년 9월,6
ZAF,2017년 11월,3
ZAF,2017년 12월,1
ZAF,2018년 1월,1
ZAF,2018년 3월,6
ZAF,2018년 5월,1
ZAF,2018년 6월,2
YEM,2015년 3월,3
YEM,2015년 4월,2
YEM,2015년 5월,3
YEM,2015년 6월,1
YEM,2015년 7월,1
YEM,2015년 8월,12
YEM,2015년 10월,5
YEM,2016년 3월,2
YEM,2016년 7월,2
YEM,2016년 8월,4
YEM,2016년 10월,2
YEM,2016년 11월,3
YEM,2017년 2월,1
YEM,2017년 3월,7
YEM,2017년 4월,7
YEM,2017년 5월,2
YEM,2017년 6월,4
YEM,2017년 7월,8
YEM,2017년 8월,6
YEM,2017년 9월,23
YEM,2017년 10월,9
YEM,2017년 11월,16
YEM,2017년 12월,29
YEM,2018년 1월,6
YEM,2018년 2월,2
YEM,2018년 3월,4
YEM,2018년 4월,17
YEM,2018년 5월,3
WST,2015년 3월,3
WST,2015년 9월,3
WST,2016년 1월,42
WST,2016년 2월,42
WST,2016년 3월,1
WST,2016년 5월,7
WST,2016년 6월,11
WST,2016년 7월,19
WST,2016년 8월,5
WST,2016년 9월,11
WST,2016년 10월,10
WST,2016년 12월,17
WST,2017년 1월,4
WST,2017년 2월,35
WST,2017년 3월,18
WST,2017년 4월,14
WST,2017년 5월,24
WST,2017년 6월,1
WST,2017년 7월,25
WST,2017년 8월,8
WST,2017년 9월,151
WST,2017년 10월,110
WST,2017년 11월,92
WST,2017년 12월,41
WST,2018년 1월,2
WST,2018년 2월,1
WST,2018년 3월,8
WST,2018년 4월,30
WST,2018년 5월,35
